,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
10,Salvation Army,(50) Non Profit ; (51) Registered Charity,416-363-5496,karen_french@can.salvationarmy.org,www.torontoharbourlight.ca,"160 Jarvis St
Toronto, ON     M5B 2E1","Church-Yonge Corridor, 75",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Street parking close to entrance,Assessment interviews -- Mon-Thu 8 am-4 pm * information Mon-Sun 24 hours,Residential program -- men 18 years and older with concurrent addiction and mental health disorders * Community program -- men 18 years and older who are struggling with substance abuse or dependence,English,Call intake worker,"<b>Residential Treatment Program</b> -- up to 14 weeks * life skills * symptom management * relapse prevention * psychiatric and medical support<br><br>

<b>Community Treatment Program</b> -- flexible group and individual treatment services in downtown Toronto and Scarborough",2015-02-03
11,Griffin Centre,(50) Non Profit ; (51) Registered Charity,416-222-1153,contact@griffincentre.org,www.griffincentre.org,"1124 Finch Ave W, Unit 1
Toronto, ON     M3J 2E2","York University Heights, 27",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm","Youth and young adults 15-25 years with addiction or addiction and mental health challenges, living in Jane/Finch and surrounding northwest Toronto community, and their families",English ; Twi ; Interpretation available for other languages,"Call, email or visit website for information * intake assessment required * self referral or referral by family member, service provider, hospital, or community agency","Mental health and substance use services for transitional age youth including complex care coordination and intensive case management, individual and family counselling, group support and activities, educational workshops, outreach and community capacity building * access to other Griffin Centre services<br><br>

In partnership with LOFT Community Services -- see separate entry",2015-09-16
12,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2,,www.camh.ca,"60 White Squirrel Way, 2nd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Assessments -- Mon-Fri 9 am-5 pm,Individuals with addiction and persistent mental health problems,English ; Access to trained interpreters available for French and other languages,"Referral required from other CAMH services or through Addiction Assessment Service -- general addiction assessment required prior to IGT clinic assessment * call Access CAMH, or visit website for information","Outpatient program -- psychiatric assessment and follow up, treatment planning, and addiction and mental health therapy groups * case coordination",2015-02-25
13,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH 416-535-8501 ext 2,,www.camh.ca,"Bell Gateway Building
100 Stokes St
Toronto     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,"Women and men with an eating disorder or food addiction, with or without substance use problems",English ; Access to trained interpreters available for French and other languages,Physician referral and Medical Clearance required -- referral form available online* assessment required  * existing clients call 416-535-8501 ext 34736,Outpatient program includes integrated concurrent treatment * individual or group sessions * case coordination * family support including education and intervention,2015-02-25
14,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 4th Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * evening groups available,"Lesbian, gay, bisexual, transgender, transsexual, and intersex individuals 18 years and older, who are interested in quitting, cutting down, or gaining more awareness about their use of drugs and/or alcohol * open to both local and out-of-town clients",English ; Access to trained interpreters available for French and other languages,No referral necessary but assessment required -- call Access CAMH * existing clients call 416-535-8501 ext 34430,"Assessment and referrals * confidential counselling * individual and group therapy * day and residential programs * weekly support groups -- single gender (lesbian and bisexual women only, or gay and bisexual men only) or co-ed * support for families and/or partners * couple counselling * relapse prevention * education including stress management, nutrition, recreation * concurrent disorder program including psychiatric consultation",2015-02-25
15,Good Shepherd Non Profit Homes,(50) Non Profit,416-203-2711,,www.goodshepherdcentres.ca,"550 Queen St E, Ste 315
Toronto, ON     M5A 1V2","Regent Park, 72",Some wheelchair accessible buildings,Mon-Fri 9 am-5 pm * after hours -- on call support Mon-Sun 24 hours,"Single men and women 18-65 years who experience the effects of mental illness and addictions, and are homeless or at risk of homelessness * must be willing to participate in recovery focused psychosocial rehabilitation",English ; Spanish,"Supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Supportive housing in Toronto and Hamilton
<br><br>
<b>Brother Joseph Dooley Apartments</b> -- supported permanent housing * bachelor and one bedroom apartments * 16 units<br><br>

<b>MacNeil House</b> -- life skills * advocacy * information and referral * 10 units<br><br> 

<b>Manse Road</b> -- transitional supportive housing, 6 months-2 years duration * 24 hour support * social, interpersonal and living skills * discharge planning and follow up * capacity 9 * respite care/short stay upon availability<br><br> 

<b>Addictions Supportive Housing</b> -- strict eligibility requirements, call for details *
supported permanent housing for persons with problematic substance use * bachelor and one bedrooms apartments  * 32 units<br><br> 

<b>Housing Outreach and Support Team (HOST)</b> -- supported permanent housing * bachelor, one and two bedroom apartments * 181 units<br><br> 

<b>Tenant services</b> -- Trusteeship program * auricular acupuncture and mindfulness training<br><br>

Head office located in Hamilton, 905-528-9109",2015-06-10
16,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Intake 416-535-8501 ext 33985,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 2nd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Office -- Mon-Fri 8:30 am-4:30 pm,"Aboriginal individuals 16 years and older, who are experiencing homelessness, substance use and mental health issues",English ; Access to trained interpreters available for French and other languages,No referral required * call for information,"Assessment and referrals * individual, couple and family counselling * cultural consultation and support * talking circles and group work * inpatient and outpatient treatment programs * traditional and Western healing interventions * training, consultation and capacity building",2015-04-16
17,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 3rd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,Women 18 years and older with moderate to severe alcohol and/or substance dependence and mild to moderate mental health challenges,English ; Access to trained interpreters available for French and other languages,No referral necessary but assessment required -- call Access CAMH,"Addiction and concurrent disorder treatment services * 3 phase program -- support and stabilization group, intensive programming and continuing care group",2015-04-20
18,Fred Victor,(50) Non Profit ; (51) Registered Charity,416-369-1199,,www.fredvictor.org,"145 Queen St E
Toronto, ON     M5A 1S1","Moss Park, 73",Wheelchair accessible automatic main entrance ; Easy access to elevator - braille features ; Barrier-free washroom including door and stall,Office -- Mon-Fri 9:30 am-5:30 pm * program hours may vary,"Housing -- single adults 16 years and older who are homeless, at risk of becoming homeless, or are marginally housed * trans-positive services",English,"Drop in for community programs, or call for housing application procedures","Services include information and referral, housing and shelter supports and outreach, medical clinic, concurrent disorders support services * drop-in program * income tax clinic * Fair Change legal clinic * nursing clinic * mental health and justice program * harm reduction equipment and support * creative programs * catering<br><br>

<b>Friends Restaurant</b> -- low-cost meals, credit available * brunch Monday-Friday 10 am-12 noon, supper Monday-Friday 4 pm-5:30 pm<br><br>

<b>Housing</b> -- permanent, shared accommodation * private bedrooms and bathrooms * shared kitchens and living rooms * 24 hour support staff using facilitative management and community development to enhance tenant involvement",2015-04-07
19,416 Community Support for Women,(50) Non Profit,416-964-6936,alex.b@416community.com,www.416community.com,"170 Bloor St W, Ste 1106
Toronto, ON     M5S 1T9","Annex, 95","Wheelchair accessible washroom, assistance needed with door ; Wheelchair accessible entrance, assistance needed with door",Mon-Fri 9 am-5 pm,Women 16 years and older dealing with both addiction and mental health issues,English,Call for appointment and assessment,"Individual and group counselling * assistance in accessing services * case management * harm reduction, abstinence and relapse prevention awareness * yoga, meditation * community outreach",2015-10-29
20,WoodGreen Community Services,(50) Non Profit ; (51) Registered Charity,416-645-6000 ext 2529,housinghelp@woodgreen.org,www.woodgreen.org,"650 Queen St E
Toronto, ON     M4M 1G5","South Riverdale, 70",Wheelchair accessible building including main entrance and barrier free washrooms,Mon-Fri 9 am-5 pm,No restrictions,English,Call or drop in,"<b>Housing Help Centre (InfoLink) </b> -- one-on-one housing search support * private landlord registry * hostel bed registry * information and referral * access to phone, fax * landlord information and education * <b>Housing Connections</b> (see separate entry) Community Partner -- assistance with housing search and application process<br> <br>

<b>Concurrent Disorders and Harm Reduction Services</b> -- eviction prevention and landlord/tenant mediation * Advice Lawyer -- Legal Aid clinic for summary advice every other Thursday 1 pm-5 pm * ID clinic Friday 11 am-1 pm * <b>First Step to Home</b> -- for homeless or street involved men 55 years and older * case management * harm reduction housing support/education * budget counselling * <b>Rooming House Emergency Relocation Project</b> -- for rooming house tenants * <b>Friendship Club</b> Tuesday, Thursday drop-in -- 8:30 am-12 noon * lunch Monday, Wednesday-Friday 1 pm-2 pm * breakfast drop-in Monday-Friday 9 am-10 am <br><br>

<b>Pet Food Bank</b> – Wednesday 2 pm-3 pm * cat and dog food, nail trims, advice from pet care expert for low-income residents",2016-02-22
21,Street Haven at the Crossroads,(50) Non Profit ; (51) Registered Charity,416-967-0133,info@streethaven.com,www.streethaven.com,"87 Pembroke St
Toronto, ON     M5A 2N9","Moss Park, 73",Not Accessible ; Appointments available in the community - call for information,,Women 16 years and older with substance use issues,English ; interpretation for other languages,Call * self or agency referral,"Addiction counselling in the community -- individual and group counselling, and support for concurrent disorders * abstinence and harm-reduction based approaches * aftercare, relapse prevention counselling, case management",2015-06-08
22,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 3rd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,,"Adults 18 years and older with moderate to severe alcohol and/or substance dependence, and mild to moderate mental health challenges * client must be medically and psychiatrically stable before beginning program",English ; Access to trained interpreters available for French and other languages,No referral necessary but assessment required -- call Access CAMH,"Inpatient treatment program -- capacity 30 * goal planning, relapse prevention, medication management, psycho-education, recreation and stress management activities * individual and group therapy * harm reduction framework * includes cocaine, LGBTQ and Aboriginal specific programming * community integration support includes weekly group counselling for one year post treatment",2015-02-26
23,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,416-979-6885 ; 416-535-8501 ext 36885,,www.camh.ca,"250 College St
Toronto, ON     M5T 1R8","Kensington-Chinatown, 78",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Emergency Department -- Mon-Sun 24 hours,"Individuals 16 years and older, with mental health and substance use issues",English ; Access to trained interpreters available for French and other languages,Walk-in 24 hours -- no referral required * call for information only * referral to Crisis Clinic through CAMH Emergency Department only,"Emergency department including observation, assessment and treatment services * <b>does not provide telephone counselling</b><br><br>

<b>Crisis Clinic, 416-535-8501 ext 36878</b> -- brief, time-limited treatment for individuals in acute crisis related to mental health or concurrent substance use issues * assists in dealing with crisis, action plan development and coping strategies * links to other mental health and community-based programs",2015-04-16
24,"Vasantham, A Tamil Seniors Wellness Centre",(50) Non Profit,416-847-4172,vasantham@sherbourne.on.ca,,"Easttown Centre Plaza
2660 Eglinton Ave E
Toronto, ON     M1K 2S3","Eglinton East, 138",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Dedicated accessible washroom with all features,Mon-Fri 9 am-5 pm,Tamil speakers of all ages,English ; Tamil,Drop in or call,"Health and mental health information, education and referral * elder abuse, domestic violence and addiction counselling * crisis intervention and trauma counselling * concurrent disorders group for people with mental health and addictions issues * gambling counselling * family support group * intergenerational recreation group * seniors social group * individual advocacy * leadership training * community development and capacity building * group activities * yoga * youth workshops<br><br>

Services also at satellite location -- Sherbourne Health Centre, 333 Sherbourne St, 2nd Fl, 416-324-4185",2015-02-12
25,WoodGreen Community Services,(50) Non Profit ; (51) Registered Charity,416-645-6000,,www.woodgreen.org,"815 Danforth Ave
Toronto, ON     M4J 1L2","Danforth Village-Toronto, 66","Wheelchair accessible automatic main entrance ; Easy access to elevator ; Wheelchair accessible washroom, assistance needed with door ; Street parking - not designated",Mon-Fri 9 am-5 pm,Persons who are socially isolated * persons who have a mental health issue and/or use substances,English,Call or visit the website,"Concurrent Disorder and Harm Reduction Services, 416-469-5211 ext 1150 -- case management * counselling * housing help * advocacy * assistance finding food and clothing * social, recreational and meal programs * information and referral on harm reduction, detox and treatment services, and local health services<br><br> 

<b>Full Circle</b> 416-422-2026 ext 269 -- community psychogeriatric case management team for persons 60 years and older with mental health needs * crisis intervention, outreach and monitoring * offered in English, Chinese (Cantonese, Mandarin), Hindi and Punjabi * in partnership with Toronto East General Hospital Community Outreach Services<br><br>

Supportive housing -- see separate Housing listing",2015-09-18
