,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
10,Fred Victor,(50) Non Profit ; (51) Registered Charity,416-482-4103,,www.fredvictor.org,"210 Dundas St W, 4th Fl
Toronto, ON     M5G 2E8","Bay Street Corridor, 76",Wheelchair accessible automatic main entrance ; Easy access to elevator,Mon-Fri 9 am-5 pm,"Support services -- persons 16 years and older with severe mental health problems, and their families * information and mental health promotion services -- members of the public, community groups, agencies","English ; interpreters available for Somali, Tamil and many other languages","Call Intake Coordinator, 416-482-4103 ext 316 for details * <b>Community Support Services</b> -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Community mental health organization * direct support services for individuals and their families * information and mental health promotion services * assists agencies and groups in developing client-centred approaches to service delivery<br> <br> 

<b>Community Support Services</b> -- case management including outreach, relationship building, assessment, referrals, support, advocacy * case management for early intervention program clients<br> <br> 

<b>Health Promotion Program</b> -- telephone information on mental health services in Toronto, including housing, treatment options, self help groups, social programs, support groups for families and friends * publishes Making Choices Resource Guide * maintains website with resources and searchable database of mental health services and supports * mental health promotion services to consumer/survivor groups and families, and to programs and agencies that serve people with serious mental health problems * community and organizational development projects * education and training<br> <br> 

<b>Hostel Outreach Program</b> -- flexible, portable support to homeless women who have experienced significant mental health difficulties * outreach * assessment * case management * relationship building * help establishing housing, community contacts, education/vocation, leisure<br> <br> 

<b>Mental Health Court Support Services</b> -- based at Old City Hall and College Park provincial courts * activities to divert people with serious mental health problems charged with low risk offences toward support services in the community * information, consultation and case management * housing support",42403
11,Covenant House Toronto,(50) Non Profit ; (51) Registered Charity,416-598-4898,general@covenanthouse.ca,www.covenanthousetoronto.ca,"20 Gerrard St E
Toronto, ON     M5B 2P3","Bay Street Corridor, 76","Designated parking at entrance - unloading only ; Easy access to elevator - side entrance ; Barrier-free washroom including door and stall - main program area ; Wheelchair accessible washroom, assistance needed with door - 3rd floor ; Wheelchair accessible shower and bathroom stalls - girls residential floor","Emergency Intake -- Mon-Sun 24 hours<br>
<b>Drop-in</b> -- Mon-Tue, Thu 1:15 pm-7 pm; Wed 1:15 pm-8 pm; Fri 1:15 pm-5 pm<br>
<b>Food bank</b> -- Fri 1:30 pm-4:30 pm<br>
<b>Meal programs:</b>  lunch -- Mon-Tue, Thu 1:15 pm-4 pm * supper -- Mon-Thu 4 pm-7 pm, Fri 3 pm-5 pm<br>
<b> Health Care Services</b> -- Mon-Fri 7:30 am-3 pm * family practice doctor Mon, Thu mornings * psychiatrist Tue afternoon and Wed morning<br>
<b>ID clinic</b> -- Thu 1 pm-3 pm, sign in by 2:30 pm",Homeless and runaway youth 16-24 years,English ; French ; Spanish ; Other languages may be available,"Call or drop in * food bank -- at initial intake assessment discussion, income and address information, and identification for household members, may be requested -- call for details","Crisis intervention centre * residential, non-residential and community support services * education * pastoral ministry * runaway prevention program * day program * community youth meal programs<br><br>

<b>Community Support Services, 416-204-7037</b> -- drop-in for ex-residents and non-residents * hot meal or food package (member of Daily Bread Food Bank) * clothing * hygiene necessities * showers * assessment and referrals * counselling * health care * housing help * literacy * life skills * assistance in finding and keeping a job * legal resources * recreation * street outreach * ID clinic<br><br>

<b>Health Care Services</b> -- primary medical care * diagnostic services * health education * assistance in obtaining medical coverage * referrals * access to family practice doctor and psychiatrist<br><br>

<b><a href=""http://Cov4Youth.ca"">Cov4Youth.ca</a></b>, help@covenanthouse.ca -- online information, fact sheets and advice on youth issues and homelessness * searchable resource directory of services",42244
12,Davenport Perth Neighbourhood and Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-656-8025,info@dpnchc.ca,www.dpnchc.com,"1900 Davenport Rd
Toronto, ON     M6N 1B7","Weston-Pellam Park, 91",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator - lowered buttons ; Dedicated accessible washroom with all features,"<b>Community services</b> -- Mon-Thu 9 am-9 pm, Fri 9 am-5 pm <br> 
<b>Monday supper</b> -- 4:30 pm-6 pm<br>
<b>Medical services</b> -- Mon-Wed 9 am-8 pm, Thu 1 pm-5 pm, Fri 9 am-5 pm <br>
<b>Community dining</b> -- throughout the year: supper Wed 5 pm-6 pm; lunch Fri 12 noon-1 pm <br>
<b>EdgeWest Youth Clinic</b> -- Mon, Wed 4 pm-8 pm, Sat 10 am-2 pm",Varies per program,English ; Chinese (Mandarin) ; Italian ; Portuguese ; Spanish ; interpreters for other languages available for medical and settlement services,Call or visit * appointments required for some programs * no referral required,"Multiservice community centre, including health centre and neighbourhood programs * volunteer opportunities<br><br>

<b>Adult Services</b> -- for adults who may be isolated, marginalized, new to Canada, non-status, have experienced addiction issues, the psychiatric system, and/or are at risk of eviction * <b>Drop in</b> -- Monday, Thursday 1 pm-4 pm<br><br>

<b>Child and Youth Programs</b> -- for children 6-12 years * summer and March break day camps * after school recreation programs and field trips * homework club * for youth 11-24 years * social, recreation, education and arts activities * leadership training * life skills<br><br>

<b>Community Dining</b> -- nutritious meals * nominal cost * access to community services * <b>Monday supper 4:30 pm-6 pm (November-April)</b><br><br>

<b>Community Health Centre 416-658-6812</b> -- call for appointment * individual and family medical and nursing services * palliative care * psychiatric services * counsellor therapists * mental health and addictions counsellor therapist * community dietitian * physiotherapist * doctor on call Monday-Sunday 24 hours * house calls when appropriate * health education and promotion * outreach to isolated persons * community action on identified community health issues * no Ontario Health Insurance required for general services -- some limitations apply<br><br>

<b>Crisis Support and Intervention</b> -- Monday-Friday * call for an appointment<br><br>

<b>Ontario Early Years Centre -- Davenport</b>, local lead agency for Ontario Early Years Centres * early learning and literacy * parenting * parent relief * child care training * school readiness * information and referral * Growing Up Healthy Downtown (see separate entry) -- for children birth-6 years<br><br>

<b>Peer Street Outreach</b> -- Tuesday 3 pm-7 pm, Wednesday 11 am-3 pm * support * harm reduction supplies and information<br><br>

<b>Seniors Program</b> -- 55 years and older * health education * advocacy * social, education and recreation activities * Italian and Portuguese women's groups * Spanish-speaking group * arts, fitness, trips/outings<br><br>

<b>Settlement Program</b> -- counselling and settlement services for status and non-status newcomers * workshops <br><br>

<b>EdgeWest Youth Clinic</b> -- 416 652-4363 * positive health care * mental health support and referrals * sex-positive health information and services * birth control * STI testing",42279
13,Delisle Youth Services,(50) Non Profit ; (51) Registered Charity,416-482-0081,info@delisleyouth.org,www.delisleyouth.org,"40 Orchard View Blvd, Ste 255
Toronto, ON     M4R 1B9","Yonge-Eglinton, 100",Designated parking at entrance - also street parking ; Wheelchair accessible automatic main entrance ; Easy access to elevator - lowered buttons and braille features ; Barrier-free washroom including door and stall,"<b>STARS @ The Studio drop-in</b> -- Mon-Thu 3 pm-7:45 pm, <b>LGBTQ drop-in</b> -- 1st Friday of each month * day and evening counselling appointments available","Youth 13-21 years with mental health issues or complex special needs, and their families",English,"Call, email or visit website for information","Child and youth mental health multiservice agency * community services including counselling, day treatment, residential treatment * for day and residential treatment, see branch records<br><br> 

<b>Counselling services</b> -- individual and family counselling for concerns related to social, emotional and behavioural needs * referrals to medical and social services<br><br> 

<b>Residential Placement Advisory Committee</b> -- reviews placement of children who reside within the jurisdiction * also reviews placement of children 12 years and older who object to their placement * information on availability of resources<br><br>

<b>STARS @ The Studio</b> -- youth drop-in program * LGBTQ positive space",42334
14,Hincks-Dellcrest Centre,(50) Non Profit ; (51) Registered Charity,416-924-1164,info@hincksdellcrest.org,www.hincksdellcrest.org,"1645 Sheppard Ave W
Toronto, ON     M3M 2X4","York University Heights, 27",Not Accessible - residences and day treatment facilities ; Designated parking at entrance ; Wheelchair accessible automatic main entrance - main building ; Barrier-free washroom including door and stall - main building,"Mon-Thu 9 am-9 pm, Fri 8:30 am-4 pm",Children and youth birth-17 years and their families,"English ; other languages sometimes available through volunteers, call in advance",Contact intake worker for treatment programs * programs may vary,"Children's mental health centre * <b>nonresidential treatment</b> -- individual, family and group counselling, art and play therapy, day treatment, parent training, community support * <b>residential treatment</b> for children 7-14 years * group homes and treatment programs for older youth under Youth Criminal Justice Act * <b>prevention and early intervention program</b> -- home visiting, children's groups, parent groups, parent and child activities, parenting counselling, individual support for children * variety of school and community-based programs * child focused consultation and training<br><br> 

<b>Mobile resource centre</b> -- family resource program, information and support service including toy lending library<br><br> 

<b>Ontario Early Years Centre -- York Centre, 416-633-4035</b> -- early learning and literacy programs for parents and their children * parenting programs<br><br>

See branch entries for additional service locations * local lead agency for Ontario Early Years Centres",42083
15,Distress Centres,(50) Non Profit ; (51) Registered Charity,"Family, second party, agency or professional referrals only, Mon-Fri 9 am-5 pm 416-598-0166",info@torontodistresscentre.com,www.torontodistresscentre.com,,,Not Applicable,Mon-Sun 24 hours,,English ; Language Line Services provides access to service in over 150 languages,Self referral * volunteers -- call 416-598-0166 or visit website,"Telephone response to persons in need of immediate emotional support, crisis intervention or suicide prevention * links to other emergency services or professional help as appropriate * callers' issues include domestic violence, mental health crisis, risk of suicide, social isolation, addictions, mental and physical health concerns * Caller Reassurance Program for vulnerable seniors",42171
16,Dixon Hall Neighbourhood Services,(50) Non Profit ; (51) Registered Charity,416-863-0499,info@dixonhall.org,www.dixonhall.org,"58 Sumach St
Toronto, ON     M5A 3J7","Moss Park, 73",Wheelchair accessible building including main entrance and barrier free washrooms * some off site programs not accessible,"Mon-Thu 8:30 am-8 pm, Fri 8:30 am-4:30 pm * extended hours Tue for Legal Aid clinic",Open to all,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Spanish,,"Social, recreation and education programs for low income residents of all ages * summer day camp * Growing Up Healthy Downtown (see separate entry) -- for children birth-6 years * English as a Second Language (ESL) classes * drop-in Monday-Friday 8:30 am-12 noon * breakfast program  Friday 9 am * assistance with budgeting, identification, government forms Monday-Friday 1 pm-4 pm * income tax clinic February-April * Advice Lawyer --  Legal Aid clinic for summary advice Tuesday 7 pm-8 pm by appointment * East Toronto Internet Access (ETIA) -- low-cost Internet access and training including email, for people who are homeless or who have low incomes * community development * youth health promotion worker<br><br>

<b><a href="" http://dixonhallmusicschool.org/"" target=""_blank"">Music and arts programs</a></b> -- individual or group lessons * fees on a sliding scale <br><br> 

<b>Seniors</b> -- social, recreation and fitness programs * health education * home support services -- home help, van shopping, list shopping -- fee * escort to medical appointments, friendly visiting, telephone security check, client intervention and assistance -- free * Mandarin Outreach -- including settlement and newcomer services, social and cultural events, support groups and workshops<br><br>

<b>Supportive Housing Programs for Seniors</b> -- includes personal care, essential homemaking, emergency response, and care coordination * 4 participating buildings -- Old York Tower, Performing Arts Lodge of Canada, Older Women's Network Co-op, New Hibret Co-op<br><br>

<b>High Risk Youth Project</b> -- one-on-one peer counselling * social, recreational, and educational activities",41857
17,East Metro Youth Services,(50) Non Profit ; (51) Registered Charity,416-438-3697,emys@emys.on.ca,www.emys.on.ca,"1200 Markham Rd, Ste 200
Toronto, ON     M1H 3C3","Woburn, 137",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm","Youth 12-18 years and their families * programs vary, call for details",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Dari ; Farsi ; Tamil ; will arrange for interpretation in other languages if necessary,Call or walk in,"Adolescent mental health and addiction centre, accredited with Children's Mental Health Ontario (see separate entry) * counselling and case management, developmental services, newcomer programs, violence intervention -- see branch entries<br><br>

<b>Nonresidential treatment and school based programs</b> -- individual and family counselling * support groups for parents * <b>Day Treatment Program</b> -- for youth with emotional, social and behavioural issues affecting their ability to function in school * <b>Priority Access for Schools (PAS) Program</b> and <b>Mental Health Support for Supervised Alternative Learning (SAL)</b> -- 3-6 months counselling and support for youth, and their families * referral from Toronto school boards<br><br>

<b>Residential treatment</b> -- for youth 12-18 years with psychiatric, emotional and/or behavioural and socialization challenges that interfere with their ability to function * includes short term stabilization and assessment program * respite, stabilization and intervention program for youth up to 18 years * Dialectical Behavioural Therapy treatment model * referral through Centralized Access to Residential Services (CARS), 416-482-7884<br><br>

<b>Youth Outreach Worker Program</b> -- assists at-risk youth 12-21 years and their families in navigating and accessing services and supports * coordinate youth activities and services * in collaboration with other community agencies, in 7 under-served East Toronto neighbourhoods",42159
18,Etobicoke Children's Centre,(50) Non Profit ; (51) Registered Charity,416-240-1111,ecc@etobicokechildren.com,www.etobicokechildren.com,"65 Hartsdale Dr
Toronto, ON     M9R 2S8","Willowridge-Martingrove-Richview, 7",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Mon-Thu 8:30 am-8 pm, Fri 8:30 am-6 pm * some services may be available Saturday, call for details","Children birth-16 years at risk for, or already experiencing mental health issues, including psycho-social, emotional, behavioural problems, and their families * also children with a diagnosis of autism, and their families",English ; Interpretation arranged for other languages,"Call, email or visit website for information * referral by custodial parent or legal guardian, or self-referral by children/youth 12 years and older with capacity to consent to service * service coordination provided for centre clients only","Children's mental health centre * service coordination, assessment, treatment and consultation services * accredited by Children's Mental Health Ontario, see separate entry * West End Sexual Abuse Treatment Program (WESAT), see separate entry<br><br>

<b>Applied Behavioral Analysis Groups Services</b> --  for eligible children diagnosed with autism * provided through Toronto Autism Applied Behaviour Analysis Services (TA-ABA) * intake through Surrey Place Centre, see separate entry<br><br>

<b>Child Care Consultation Services</b> -- consultation, intensive resourcing and support to licensed child care providers<br><br>

<b>Community Counselling Services</b> -- assessment, counselling and referral services for children who have identified mental health problems, and their families * service coordination for registered centre clients<br><br>

<b>Day School Milieu Treatment Program (DSMTP)</b> -- Section 23 treatment program for children unable to achieve their learning objectives in their community school because of mental health issues * resources and support of multi-disciplinary team from fields of education, counselling, psychology and psychiatry<br><br>

<b>Intensive Behaviour Intervention (IBI)</b> -- for eligible children diagnosed with autism * provided through Toronto Partnership Autism Services (TPAS) * intake through Surrey Place Centre, see separate entry",42038
19,LOFT Community Services,(50) Non Profit ; (51) Registered Charity,Intake 416-708-3374,tay@loftcs.org,www.loftcs.org,"721 Bloor St W, Ste 103/302
Toronto, ON     M6G 1L5","Palmerston-Little Italy, 80",Unknown,,Youth 16-26 years with mental health or substance use challenges,English,"Email for information

Residential program or Peer Support Housing program -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Case management * assistance to find housing, help navigating the social services or health care systems, advocacy, referral to appropriate services * additional, specialized supports also available<br><br>

Community Evening and Weekend Treatment Program -- support groups during early evening and weekend hours when people with mental health or addiction issues are often vulnerable * in partnership with Centre for Addictions and Mental Health, and Sick Children's Hospital",42289
20,Centre francophone de Toronto,(50) Non Profit ; (51) Registered Charity,416-922-2672,infos@centrefranco.org,www.centrefranco.org,"555 Richmond St W, 3rd Fl
Toronto, ON     M5V 3B1","Waterfront Communities-The Island, 77",Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Designated underground parking (entrance on Adelaide St) and street parking close to the entrance,"Mon-Tue, Fri 8:30 am-5 pm, Wed-Thu 8:30 am-8 pm, Sat 9 am-1 pm","French-speaking people living, working, studying or visiting in Toronto",French ; French - Designated Agency under the French Language Services Act,By appointment,"<b>Child and Family Services</b> -- drop-in centre for mothers and children birth-6 years * nutrition services with individual counselling * vaccinations and aftercare
* prenatal and postnatal services <br><br>

<b>Pas à Pas (Prenatal Nutrition Program)</b> -- for pregnant or new mothers
* prenatal and postnatal nutrition counselling for recently arrived mothers 
* child development counselling for parents of children aged birth-6 years 
* free clothing bank for children birth-12 years <br><br>

<b>Children's Mental Health Program</b> -- includes child mental health counselling for ages birth-6 years * service coordination * individual or family therapy * family support <br><br>

<b>Infant Development Program</b> -- for parents with concerns about the development of their children's motor skills, autonomy, social interaction, and ability to communicate * counselling * family support * service coordination * day care consultation <br><br>

<b>Ici pour aider (Here to Help)</b> -- individual sessions for children 4-16 years who have been exposed to woman abuse <br><br>

<b>Program espace jeunesse and mental health service</b> for youth 7-18 years *  individual and family assessments * therapy and counselling * school support services * workshops -- program also offered at Black Creek Community Centre, Yorkgate Mall, 1 Yorkgate Blvd, room 202 -- call for detail and to make an appointment 416-922-2672 ext 290 <br><br>

<b>Passerelle Program (Children's Day Treatment Centre)</b> <b>French-language Day Treatment Centre</b> -- program offered at École Ste-Madeleine, 1 Ness Drive, Toronto<br>
* program for children 6-12 years with behavioural, emotional or social disorders 
* educational and therapeutic services delivered in a school setting 
* individual or group assessment and treatment for eligible children
* family support
<br><br>

<b>Centre de la petite enfance (Early Childhood Centre)</b> --
gathering place for parents and children birth-6 years
* language development using games and songs
* psychomotor development activities
* child socialization, parent support groups and parenting education * 
<b>Le Coin de la petite enfance (Early Years Corner)</b> -- parents and tots program * recreational activities including gymnastics for kids and outings * African moms group",42433
21,George Hull Centre for Children and Families,(50) Non Profit ; (51) Registered Charity,416-622-8833,reachus@georgehullcentre.on.ca,www.georgehullcentre.on.ca,"81 The East Mall, 3rd Fl
Toronto, ON     M8Z 5W3","Islington-City Centre West, 14","Wheelchair accessible main entrance, assistance needed with door ; Lot parking","Mon-Thu 8:30 am-7 pm, Fri 8:30 am-5 pm","Children and youth, birth-18 years, with behavioural, emotional, psychiatric, or family and interpersonal problems",English ; French - (interpreters) ; Amharic ; Italian ; Spanish ; Tamil ; Tigrinya ; Urdu ; interpreters available,Contact Intake at 416-622-8833 ext 258,"Community-based children's mental health centre * local lead agency for Ontario Early Years Centres * participates in Toronto Preschool Speech and Language Services (West Quadrant) -- see separate entry<br><br>

<b>Boys House and Libby's Place</b> -- residential treatment for youth 12-18 years<br><br>

<b>Community Clinic</b> -- multidisciplinary consultation, outpatient assessment and individual, family and group treatment and support<br><br>

<b>Clear Directions Program</b> -- day treatment program for adolescents with substance abuse and mental health problems, in collaboration with Breakaway Addiction Services and Toronto District School Board, see separate entries<br><br>

<b>Family Group Conferencing</b> -- culturally-sensitive, alternative approach to child protection * extended family group members participate in the decision-making process to ensure the safety and well-being of children at risk or in need of protection<br><br>

<b>Highfield Community Enrichment Project</b> -- school-based family support and community development programs at Highfield Junior School -- see separate entry<br><br>

<b>School Program</b> -- day treatment program for children and youth with acute or chronic behavioural or emotional difficulties<br><br>

<b>Special Needs Resourcing</b> -- consultation and support to child care centres to enhance their ability to serve children with special needs",42157
22,Hong Fook Mental Health Association,(50) Non Profit ; (51) Registered Charity,416-493-4242,info@hongfook.ca,www.hongfook.ca,"3320 Midland Ave, Ste 201
Toronto, ON     M1V 5E6","Steeles, 116",Wheelchair accessible - call for details ; Street parking close to entrance,Mon-Fri 9 am-5 pm,"Community education -- open to all * all other programs -- consumers/survivors and their families of Cambodian, Chinese, Korean or Vietnamese descent who are over 16 years and have difficulty accessing other mental health services * Supportive Housing Program -- for consumer/survivors who are able to live independently with support",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Khmer ; Korean ; Vietnamese,"Call 416-493-4242 ext 0 for information * supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Client services -- information and referral, short term supportive counselling and case management * advocacy * leadership and life skills training * Supportive Housing Program - see eligibility above * psychosocial recreation and education activities * peer support and self help groups * support groups for family members * volunteer development<br> <br> 

General community education -- holistic health education * mental health promotion * consultation and educational services to agencies and professionals on ethno-racial mental health issues",42380
23,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,416-535-8501 ext 77300,,www.camh.ca,"1709 St Clair Ave W
Toronto, ON     M6N 1J2","Weston-Pellam Park, 91","Wheelchair accessible main entrance, assistance needed with door",Administration -- Mon-Fri 9 am-5 pm * programs -- call for details,Young adults experiencing early signs of psychosis,English ; Access to trained interpreters available for French and other languages,Psychiatrist referral -- form available online * must have a psychiatrist and case manager,"First Episode LEARN -- includes General Education Development (GED), recovery and family programs",42060
24,Kids Help Phone,(50) Non Profit ; (51) Registered Charity,,info@kidshelpphone.ca,www.BroTalk.ca,,,Not Applicable,Live Chat Counselling (English) -- Wed-Sun 6 pm-2 am * Live Chat Counselling (French) -- Thu-Mon 6 pm-2 am,Teens 14-18 years who identify as male,English ; French,Visit website,"Online (live chat) counselling, information and referral * confidential and anonymous * individual support on issues such as stress, life balance, relationships, bullying, substance use, sexual orientation, gender identity, suicide, depression and other mental health challenges * online information on a variety of topics including fitting in, peer pressure, relationships and dating, sex and consent, school, and depression",42328
25,Humewood House Association,(50) Non Profit ; (51) Registered Charity,416-651-5657,information@humewoodhouse.com,www.humewoodhouse.com,"40 Humewood Dr
Toronto, ON     M6C 2W4","Humewood-Cedarvale, 106",Not Accessible,Office -- Mon-Fri 9 am-4 pm,"Pregnant teens and young mothers 13-21 years who need support with housing, parenting, relationships, returning to school",English,Call Intake Counsellor,"<b>Counselling</b> -- individual and family counselling *  support groups * advocacy * information and referral * volunteer mentoring program<br>
<br>
<b>Food Bank</b> -- Monday-Friday 9 am-4 pm, by appointment only * clothing for infants and toddlers, household items<br>
<br>
<b>Education program</b> -- for residents and pregnant or parenting youth * high school classrooms on site * life skills * counselling * licensed infant centre * in partnership with Toronto District School Board<br>
<br>
<b>Residence</b> -- prenatal and postnatal services * individual and family counselling * life skills, parenting skills * capacity 16 (10 young mothers, 6 infants)<br>
<br> 
<b>Transitional and Supportive housing</b> -- apartments for young parents 16-19 years * 27 units * maximum stay 4 years * rent geared to income * support services * in partnership with Toronto Community Housing Corporation (see separate entry)",41862
26,YouthLink,(50) Non Profit ; (51) Registered Charity,416-967-1773,info@youthlink.ca,www.youthlink.ca,"747 Warden Ave
Toronto, ON     M1L 4A8","Clairlea-Birchmount, 120",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Mon-Wed 9 am-8 pm, Thu 9 am-6:30 pm, Fri 9 am-5 pm * <b>Walk-in Counselling Service</b> -- Wednesday 12 noon-6:30 pm","Youth 12-21 years, their parents/caregivers * may vary by program",English,"Call, email or visit website for information * professional or self referral -- call intake 416-967-1773 ext 222 * <b>Walk-in Counselling Service</b> -- drop in, no appointment necessary","Individual, family and group counselling * residential treatment * parenting programs * outreach * school-based prevention programs * homework club * community education and development<br>
<br>
<b>Family Support Program</b> -- case management, individual, family and group counselling for youth with developmental disabilities<br>
<br>
<b>Residential Treatment Programs</b> -- residential treatment home for young women 14-18 years, capacity 12 * 3 co-op residences for young women 16-21 years * co-op residence for young men 16-21 years<br>
<br>
<b>Walk-in Counselling Service</b> -- addresses issues such as family conflict or problems in relationships with family/parents, suicidal thoughts, depression, anger and self-harming behaviour, abuse, criminal behaviour, sexual orientation, substance abuse, racial/cultural difficulties<br>
<br>
<b>Pathways to Education (Scarborough Village), 647-351-0091</b> -- academic and financial support for high school students",41773
27,Gerstein Crisis Centre,(50) Non Profit ; (51) Registered Charity,416-929-0149 ; Client information referral messages from agencies or professionals only 416-929-9897,admin@gersteincentre.org,www.gersteincentre.org,,,"Wheelchair accessible main entrance, assistance needed with door ; Entrance close to parking ; Barrier free washroom and kitchen ; 1 wheelchair accessible bedroom",Crisis lines -- Mon-Sun 24 hours,"Adults 16 years and older experiencing an acute mental health crisis * must not be an immediate danger to themselves or others, or in need of detoxification",English ; Prompt interpretation available for most languages,,"24 hour nonmedical crisis intervention for acute psychosocial crises * mobile response in the home or other community setting, if necessary * concrete assistance with problems immediate to the crisis * support * brief stay at base facility when necessary * referrals for assistance with ongoing needs such as financial, housing, case management * assistance with remaining in the community * <b>no medical or psychiatric treatment * no emergency medical service</b>",42276
28,Child Development Institute,(50) Non Profit ; (51) Registered Charity,416-603-1827,info@childdevelop.ca,www.childdevelop.ca,"25 Imperial St, 4th Fl
Toronto, ON     M5P 1B9","Yonge-Eglinton, 100",Not Accessible,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm * evening hours during July and August by appointment only",Children and youth 8-18 years with social and emotional problems related to specific learning disabilities * must have recent psychological assessment diagnosing a learning disability,English ; Interpretation for other languages may be arranged,Call or email for intake package * visit website for information,"Children's mental health centre * assessment, planning, case coordination * treatment groups for children and adolescents * individual and family counselling * parent support groups * workshops * consultation to schools, social agencies and community groups * <b>Camp Towhee</b> -- residential therapeutic summer camp for children and youth 10-18 years",42164
29,Delisle Youth Services,(50) Non Profit ; (51) Registered Charity,416-394-3882,dayprogram@delisleyouth.org,www.delisleyouth.org,"Thistletown Collegiate
20 Fordwich Cres
Toronto, ON     M9W 2T4","Rexdale-Kipling, 4",Unknown,"Mon-Tue, Thu-Fri during school hours * also Wed morning",Youth 14-19 years with mental health problems who are unable to function in the mainstream school system,English ; French - counselling services in partnership with Centre Francophone (see separate entry),Call or email,Educational and therapeutic learning experience * academic program in conjunction with Toronto District School Board (see separate entry) * individual counselling * social and recreation activities * family support * follow up * summer program,42334
30,Jamaican Canadian Association,(50) Non Profit ; (51) Registered Charity,416-746-5772,info@jcaontario.org,www.jcaontario.org,"995 Arrow Rd
Toronto, ON     M9M 2Z5","Humbermede, 22",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Mon-Fri 9 am-4:30 pm, Sat 10 am-4:30 pm",African-Canadian or Caribbean persons or appreciation of Jamaican heritage,English ; Akan ; Twi,Call or drop in,"Educational, vocational, immigration and employment counselling * settlement services * family orientation and adjustment * housing information and assistance * assistance in filling out forms * social and recreation programs for seniors * young offenders rehabilitation program<br><br>

Newcomer Settlement Program -- for newcomers or refugee claimants * information and referral, and counselling on issues of employment, housing, education, family sponsorship and other services<br><br>

Leaders in Partnership (LIP) -- for children 7-14 years with serious behavioural problems at risk of suspension from school * 10-week recreational program addressing the social and emotional needs of children in developing a more positive attitude towards school and their community* in collaboration with schools and Toronto Police 31 Division<br><br>

Kujichaguilia Club (K-Club) -- for young offenders or youth at risk of offending, 16-26 years, of Afro Caribbean and other ethno-cultural heritage * culturally-attuned staff provide individual counselling, group support, anger management, conflict resolution to help participants integrate into family and community life<br><br>

Parenting Program -- for individuals and families * individual support, family mediation, mobile crisis counselling, and crisis intervention * referrals to community resources, support dealing with custody issues, visitations, home assessments, family court parental assessments and advocacy<br><br>

Youth Outreach Worker -- for children and youth 12-21 years * engages and connects youth with services * collaborates with other community resources<br><br>

Violence Against Women -- support to women and children 16 years and older who are experiencing or have experienced domestic violence or incest * individual, couple, group and crisis counselling * legal and parenting support * also safety planning and lifestyle management <br><br>

Caribbean Canadian Seniors Club (CCSC) -- members meet Tuesdays and Thursdays * social interaction and recreational activities <br><br>

Saturday Morning Tutorials Program (SMTP) -- tutoring for students in grades 1-12",41817
