,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
10,Morgentaler Clinic,(50) Non Profit,416-932-0446,mclinic@passport.ca,www.morgentaler.ca,"727 Hillsdale Ave E
Toronto, ON     M4S 1V4","Mount Pleasant East, 99","Wheelchair accessible building, but call ahead to make arrangements * street parking","Mon-Wed 9 am-6 pm, Thu 9 am-7 pm, Fri 9 am-6 pm, Sat 9 am-4 pm * after hours -- emergency calls returned within one hour",,English ; American Sign Language (ASL) ; Filipino ; Italian ; interpreters available for over 60 languages,"Call for appointment only after positive pregnancy test obtained through pharmacy, doctor, medical clinic or home pregnancy test",Abortions up to 19 weeks gestation * 24 hour emergency service for clients who have had a recent abortion * taped information Monday-Sunday 24 hours,2015-03-13
11,Women's Care Abortion Clinic Toronto,(50) Non Profit,416-256-7149 ; 416-256-4139,info@womenscareclinic.ca,www.AbortionToronto.com,"960 Lawrence Ave W
Toronto, ON     M6A 3B5","Yorkdale-Glen Park, 31",Wheelchair accessible -- call for details,Mon-Sat 9 am-5 pm,Women of all ages,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Farsi ; Romanian ; Serbian ; Spanish,Call for appointment * no referral required,Abortion services from 4-20 weeks gestation * pre-abortion and birth control counselling for patients * all female staff * parental consent not required,2015-07-03
12,Cabbagetown Women's Clinic,(50) Non Profit,416-323-0642,,cabbagetownwomensclinic.com,"302 Gerrard St E
Toronto, ON     M5A 2G7","Moss Park, 73",Wheelchair accessible via rear entrance and barrier free washrooms,Office -- Mon-Fri 8 am-4 pm * telephone -- Mon-Sun 8 am-8 pm,,English ; Chinese (Mandarin) ; Filipino ; Italian ; Romanian,Call for information or to book appointment,Abortion services from 5-23 weeks gestation * pre-abortion counselling * follow-up care,2014-04-16
13,Planned Parenthood Toronto,(50) Non Profit ; (51) Registered Charity,416-961-0113,ppt@ppt.on.ca,www.ppt.on.ca,"36B Prince Arthur Ave
Toronto, ON     M5R 1A9","Annex, 95",Not Accessible,"Mon-Tue 1 pm-7:30 pm; Wed 4 pm-7:30 pm, Thu 1 pm-7:30 pm, Fri 1 pm-4 pm, Sat 10 am-2 pm (sexual health matters only)",Youth 13-29 years,English ; Interpretive services available on request,"Call, email, text, visit website or drop in","Information on sexual and reproductive health issues, including birth control, relationships, pregnancy options, sexually transmitted infections, HIV/AIDS, safer sex * educational materials * training for service providers * speakers * volunteer opportunities",2016-02-03
14,Access Alliance Multicultural Health and Community Services,(50) Non Profit ; (51) Registered Charity,416-693-8677,mail@accessalliance.ca,www.accessalliance.ca,"3079 Danforth Ave
Toronto, ON     M1L 1A8","Oakridge, 121",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu 9 am-8 pm; Wed 1 pm-5 pm; Fri 9 am-5 pm",Newcomer immigrants and refugees,English ; interpreters available for other languages,"Health services -- referral by community agency or self referral * Community, settlement and youth services -- most programs require an appointment, call for details","Health and community services<br><br>

<b>Health services</b> -- primary health care services * assessment, medical treatment * prenatal and postnatal care * immunization * diabetes * illness and disease prevention * sexual health and health education * nutrition * individual, marital, family and mental health counselling * no Ontario Health Insurance required for primary care and most specialists * <b>SHY Clinic</b>, Sexually Healthy Youth -- for ages 13-24 years * pregnancy testing and counselling * STI (sexually transmitted infections) testing and free treatment * low cost birth control * non-judgemental, confidential
<br><br>

<b>Community services</b> -- focus on newcomers, women, families with children birth-6 years * peer outreach and support * parenting and parent-child groups * prenatal nutrition and support * food skills groups * health education * lesbian, gay, bisexual, trans and queer (LGBTQ) services * expressive arts * environmental awareness * research and advocacy on newcomer, immigrant and refugee issues<br><br>

<b>Youth services</b> -- drop-in programs * settlement * out of school programs * <b>Community Connections Mentorship Program </b>(formerly HOST) -- group orientation activities for newly arrived immigrant and refugee youth * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development<br><br>

<b>Settlement Program</b> -- orientation * needs and eligibility assessments * information and referral * language and skills training * job search and employment counselling * networking * youth settlement * LGBTQ settlement * services in various locations<br><br>

<b>Newcomer Resource Centre</b> -- information and referral to community and government services * access to computers, Internet, photocopier, fax and telephone",2014-06-12
15,Toronto Rape Crisis Centre / Multicultural Women Against Rape,(50) Non Profit ; (51) Registered Charity,Administration 416-597-1171,info@trccmwar.ca,www.trccmwar.ca,,,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Crisis line -- Mon-Sun 24 hours * office -- Mon-Fri 9:30 am-5 pm * counselling by appointment,"All survivors of sexual violence, their families and friends",English ; Spanish ; West Indian dialects ; Crisis line - English,"Call, email or visit website","Crisis intervention and culturally sensitive counselling, support and referral for all survivors of rape/sexual assault/incest * support for families and friends of survivors * self help groups for sexually assaulted women * information on alternatives to the legal justice system * court support, accompaniment and advocacy program * support groups * research, public education, workshops * library * comprehensive volunteer training * all services confidential * trans-positive environment",2015-10-07
16,Choice in Health Clinic,(50) Non Profit,416-975-9300,,www.choiceinhealth.ca,"1678 Bloor St W, Ste 301
Toronto, ON     M6P 1A9","High Park North, 88",Wheelchair accessible -- call for details,"Mon-Wed 9 am-4:45 pm, Thu 9 am-7:45 pm, Fri 9 am-12:45 pm * hours may vary, call for details * after hours -- 24 hour recorded information on abortion services",,English ; interpreters can be arranged for other languages,<b>Call for appointment</b>,"<b>Abortions </b>-- surgical abortions up to 15 weeks gestation * medication abortions up to 7 weeks gestation * parental consent not required for minors * all female doctors<br><br>
Pre- and post-abortion counselling * pregnancy testing * post-abortion checkup * birth control counselling * contraceptives * sexually transmitted infections testing and treatment for abortion clients * public education and workshops",2014-05-16
17,Women's College Hospital,(50) Non Profit,Switchboard 416-323-6400 * Patient Inquiry 416-323-6100,info@wchospital.ca,www.womenscollegehospital.ca,"76 Grenville St
Toronto, ON     M5S 1B2","Bay Street Corridor, 76","Wheelchair accessible building including main entrance and barrier free washrooms * access ramps at front and emergency entrances * braille and tone elevator, lowered buttons",Mon-Fri 6 am-7 pm * Sexual Assault and Domestic Violence Care Centre -- Mon-Sun 24 hours,Most programs treat men as well as women,English ; interpreters for many other languages,Physician referral required for most programs,"Ambulatory care hospital with a focus on women's health<br><br>
Breastfeeding support * childbirth education classes * foot care clinic * Ontario Breast Screening Program * women's mental health programs<br><br>
<b>Sexual Assault and Domestic Violence Care Centre</b> 416-323-6040 -- entrance on Grosvenor St west of Bay St * Monday-Sunday 24 hours * women, men and trans people * medical assessment and treatment * collection of medical and legal evidence at request of client * psychological and social support * follow-up services * safety planning<br><br>
<b>WISE program</b> -- assessment and consultation for seniors living in the community<br><br>
<a href=""http://www.womenshealthmatters.ca""> Women's Health Matters</a> -- online resource on women's health",2015-12-02
18,Unison Health and Community Services,(50) Non Profit ; (51) Registered Charity,416-653-5400,,www.unisonhcs.org,"1651 Keele St
Toronto, ON     M6M 3W2","Keelesdale-Eglinton West, 110",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Elevator with braille,"Mon 8:30 am-5 pm, Tue-Thu 8:30 am-8:30 pm, Fri 8:30 am-5 pm * after hours -- answering service * doctor on call for registered clients with medical emergencies, calls returned within one hour","Health Services -- open to all within catchment area * Toronto Public Health dental clinic -- children, adolescents, parents enrolled in select Toronto Public Health programs and seniors",English ; Portuguese ; Spanish ; Vietnamese,Appointment required for most services,"Community health centre * health services, health promotion, community services and community development * no Ontario Health Insurance required for general services 
<br><br>	
<b>Health Services</b> -- family practice including crisis pregnancy, family planning, management of chronic conditions, prenatal and postnatal care, preventative health care, seniors’ health, sexual health --  individual and sexuality counselling,  treatment of sexually transmitted diseases * counselling and case management * dietitian * podiatry clinic
<br><br>
<b>Health Promotion</b> -- anonymous HIV testing * breastfeeding clinic * child and parenting programs, including Spanish-speaking groups * Diabetes Education Centre * harm reduction programs * seniors programs * Toronto Public Health dental clinic * women’s programs, including Vietnamese support group * youth programs
<br><br>
<b>Community Services</b> -- Adult Protective Service program for adults with developmental disabilities * community kitchen * form filling * ID clinic * income tax clinic * legal clinic * Snow Link -- snow clearing registry 
<br><br>
<b> Housing Help Centre </b> -- client advocacy * crisis referral to shelters * eviction prevention * housing search * information and referral * landlord outreach * negotiation with landlords * Share the Warmth * Housing Connections Access centre * other <b>Home Services</b> -- rent bank and Streets to Homes Follow-up services
<br><br>
<b>Unison Links</b> -- drop-in information and referral centre * Monday-Tuesday 10 am-12 noon, 1 pm-3:30 pm; Wednesday 1 pm-3:30 pm,Thursday 10 am-12 noon, 1 pm-3:30 pm * form filling * help with accessing government and community programs * information on services at Unison and other agencies * internet access for searching community, social, health and related government services
<br><br>
Access centre for <b>LEAP (Low Income Energy Assistance Program)</b>, sponsored by Toronto Hydro Electric System and United Way Toronto -- assistance to low income individuals and families who are in arrears for their electricity utility bills and have exhausted all other sources of financial support * <b>for help with Enbridge gas bills call 1-855-487-5327</b>",2015-07-17
19,Scott Clinic,(50) Non Profit,416-962-5771,,www.scottclinic.ca,"157 Gerrard St E
Toronto, ON     M5A 2E4","Moss Park, 73",Not Accessible,Mon-Fri 9 am-5 pm * after hours -- answering service for emergency calls from active patients,,English ; French ; Chinese (Cantonese) ; Filipino ; Italian ; Russian,Call for appointment,"Abortions up to 16 weeks gestation * taped information and instructions on factors to consider, procedures, services, fees <b>416-962-4108</b>",2014-06-19
20,Access Alliance Multicultural Health and Community Services,(50) Non Profit ; (51) Registered Charity,416-760-8677,mail@accessalliance.ca,www.accessalliance.ca,"761 Jane St, 2nd Fl, Ste 200B
Toronto, ON     M6N 4C4","Rockcliffe-Smythe, 111",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu 9 am-8 pm; Wed 1 pm-5 pm; Fri 9 am-5 pm
",Newcomer immigrants and refugees,English ; interpreters available for other languages,"Health services -- referral by community agency or self referral * Community, settlement and youth services -- most programs require an appointment, call for details","Health and community services<br><br>

<b>Health services </b>-- primary health care services * assessment, medical treatment * prenatal and postnatal care * immunization * diabetes * illness and disease prevention * sexual health and health education * nutrition * individual, marital, family and mental health counselling * no Ontario Health Insurance required for primary care and most specialists<br><br>

<b>Community services </b>-- focus on newcomers, women, families with children birth-6 years * peer outreach and support * parenting and parent-child groups * prenatal nutrition and support * food skills groups * health education * lesbian, gay, bisexual, trans and queer (LGBTQ) services * expressive arts * research and advocacy on newcomer, immigrant and refugee issues<br><br>

<b>Youth services </b>-- drop-in programs * settlement * out of school programs * <b>Community Connections Mentorship Program </b>(formerly HOST) -- group orientation activities for newly arrived immigrant and refugee youth * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development <br><br>

<b>Settlement Program </b>-- orientation * needs and eligibility assessments * information and referral * language and skills training * job search and employment counselling * networking * youth settlement * LGBTQ settlement * services in various locations",2014-06-12
21,TAIBU Community Health Centre,(50) Non Profit,Clinic 416-644-3536 ; Community Programs and Administration 416-644-3539,info@taibuchc.com,www.taibuchc.com,"27 Tapscott Rd, Unit 1
Toronto, ON     M1B 4Y7","Malvern, 132",Wheelchair accessible building including main entrance and barrier free washrooms,"Clinic -- Mon, Wed, Fri 9 am-5 pm * Tue, Thu 9 am-8 pm * administration -- Mon-Fri 9 am-5 pm",Open to the Black community throughout the Greater Toronto Area * also all residents of the catchment area,English ; other languages may be available,,"Community health centre * primary health care * social worker/therapist * dietitian * Toronto Public Health dental clinic for children, youth, seniors and perinatal women * prenatal and postnatal care * early years programs * chronic disease management * sexual health clinic * community programs -- health promotion, community development, community kitchen * no Ontario Health Insurance required for general services",2015-09-17
22,Planned Parenthood Toronto,(50) Non Profit ; (51) Registered Charity,416-961-0113,ppt@ppt.on.ca,www.ppt.on.ca,"36B Prince Arthur Ave
Toronto, ON     M5R 1A9","Annex, 95",Not Accessible - office ; Outreach programs accessible - call for details,"<b>Primary health clinic</b> -- Mon-Tue 9:30 am-8 pm; Wed 9:30 am-12 noon, 4 pm-8 pm; Thu 9:30 am-8 pm; Fri 9:30 am-4 pm * by appointment only -- call after 9:30 am for same day appointments * Sat 10 am-2 pm -- drop-in for sexual health matters only on a first-come, first-served basis<br><br>

<b>Telephone access to physician or nurse practitioner</b> -- for current clients only, call Client Access Line 416-961-0113 ext 165 * Mon-Fri 11 am-11:45 am, also Mon-Thu 7:15 pm -8 pm",Youth 13-29 years,English ; Interpretation available by appointment,Call or visit * no referral required,"Community health centre -- primary health, sexual and reproductive health, and mental health care * drop-in clinic * telephone access to physician or nurse practitioner * birth control counselling * emergency contraception * birth control and prescriptions at reduced price * free condoms * pregnancy testing and counselling, including pregnancy options * prenatal care * sexually transmitted infections testing and treatment * anonymous HIV testing * mental health case coordination * individual and group counselling * no Ontario Health Insurance required for general services<br><br>

Also information and referral including assistance finding food, housing, employment and legal aid * assistance obtaining health card * translation and interpretation by appointment",2015-07-31
23,Ontario. Ministry of the Attorney General,(30) Provincial Government,,,www.attorneygeneral.jus.gov.on.ca/english/ovss/male_support_services,,,Not Applicable,Mon-Sun 24 hours,"Male survivors of sexual abuse, including historical abuse, and their family and friends",English ; French,,"Information and referral to local services with special competencies in crisis and integrated follow-up services
<br><br>
Member agency of Support Services Network for Male Survivors in Ontario",2015-05-28
24,Rexdale Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-744-0066,reception@rexdalechc.com,www.rexdalechc.com,"8 Taber Rd
Toronto, ON     M9W 3A4","West Humber-Clairville, 1",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Dedicated accessible washroom with all features,"Mon, Wed 8:30 am-8 pm; Tue, Thu-Fri 8:30 am-5 pm; Sat 9 am-2 pm",Varies by program,English ; diabetes education program offered in several languages * cultural interpreters available for other languages,,"Primary health care provided by doctors and nurse practitioners * counselling and case management * dental clinic for children and seniors * diabetes education centre * drop-in social program for deaf and hard of hearing adults * flu shots * foot care * health promotion * information and referral to services in the community * leadership programs for children and youth * nutrition * physiotherapy * seniors social and health promotion programs * sexual health clinic, including HIV testing * speech and language * well woman clinic * no Ontario Health Insurance required for general services<br><br>
<b>Good Food Box </b>distribution -- see separate entry FoodShare<br><br>
<b>Pathways to Education </b>-- academic and financial support for high school students<br><br>
Some services provided at satellite locations at 609 The East Mall, Unit 32, 2267 Islington Ave and Rexdale Community Hub, 21 Panorama Court -- call for details",2014-04-03
25,Yonge Street Mission,(50) Non Profit ; (51) Registered Charity,416-929-9614 ext 2238,healthcentre@ysm.ca,www.ysm.ca,"381 Yonge St
Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75","Wheelchair accessible main entrance and ground floor, assistance needed with door ; Barrier-free washroom",Health Centre -- Mon-Fri 1 pm-4:30 pm * office -- Mon-Fri 9 am-5 pm,"Street involved and homeless youth only * 24 years and under (no minimum age) * also children, infants of street youth",English,"Walk in only, no appointments","Health services including primary medical care and dental care, check ups, lab tests, including HIV testing * birth control, pregnancy tests, immunization, prenatal care, perinatal services, prenatal and parenting classes * dental care * optometry, eye glasses * chiropractor * nutritionist * physiotherapist * psychiatrist * addictions counselling * traditional Chinese medicine * foot care, socks and shoes * health education * counselling on health issues * referrals * ID replacement * access to diapers, formula, baby food * no Ontario Health Insurance or identification required * child care available",2014-08-15
26,LAMP Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-252-6475,frontdesk@lampchc.org,www.lampchc.org,"185 Fifth St
Toronto, ON     M8V 2Z5","New Toronto, 18",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall,"Mon-Wed 9 am-8 pm, Thu-Fri 9 am-5 pm * after hours, answering service relays message 24 hours * health care providers on call for registered clients with medical emergencies",Residents of catchment area,English,"<b>Primary Health Care</b> -- Call to check if accepting new patients
<b>Asthma Project</b> – by referral only
<b>Dental clinic</b> – by appointment only
<b>Chiropody (Foot Care)</b> – by appointment only","Primary health care services * health education and disease prevention * family physicians, nurse practitioners * doctor on call 24 hours * no Ontario Health Insurance required for general services * Healthy Sex Clinic (family planning) Mon 2 pm-7:30 pm * Naturopathy Clinic Thu 1:45 pm-6:45 pm ; 416-252-9701 ext 295 * Asthma Project <br><br>

<b>Dental Clinic -- 416-252-8576</b> ; Tue, Thu-Fri 8 am-4 pm * free dental care for eligible client * operated by Toronto Public Health <br><br>

<b>Foot Care (Chiropody) 416-252-6471 ext 264</b> ; Mon-Thu <br><br>

<b>Nutrition Counselling and Services 416-252-9701 ext 271</b> * individual counseling (Clinical Days) * nutrition supports for other programs (Community Days) <br><br> 

<b>West Toronto Diabetes Education Program (WTDEP) 416-252-1928</b> -- for people with Type 2 diabetes, prediabetes or at risk and interested in prevention education, counselling and support * one on one assessment, monitoring, and counselling by nurse educators and registered dietitians in many locations -- no referral required",2015-09-08
27,Anne Johnston Health Station,(50) Non Profit ; (51) Registered Charity,416-486-8666,info@ajhs.ca,www.ajhs.ca,"2398 Yonge St
Toronto, ON     M4P 2H4","Yonge-Eglinton, 100","Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features - lowered buttons ; Barrier-free washroom including door and stall ; Street parking, covered drive through drop off","Mon-Tue, Thu-Fri 8:30 am-5 pm; Wed 8:30 am-7 pm; Sat 11:30 am-4 pm","Youth 13-26 years who live, work or attend school in catchment area * seniors 55 years and older who live in catchment area * people with physical disabilities who live in the City of Toronto",English ; Arabic ; Portuguese ; Turkish ; interpreters may be arranged for other languages,,"Community health centre with focus on youth, seniors and persons with physical disabilities * in-home primary medical care for seniors, including occupational therapy, medication reviews, home safety assessment * foot care * nutrition counselling * clinic for youth 13-26 years including birth control, sexuality, testing for sexually transmitted diseases and HIV * <b>Barrier Free Health Zone</b> -- primary medical care for persons 18 years and older with physical disabilities * health education promotion, seminars and workshops * referrals to health and social services * resource centre * no Ontario Health Insurance required for general services<br> <br> 

<b>Adult day program</b> -- for frail elderly and those with Alzheimer Disease * call to apply * transportation available * partnership with SPRINT<br> <br> 

<b>Toronto Diabetes Prevention Program</b> 416-486-8666 ext 299 -- nutrition counselling * individual and group counselling * foot care * home visits * community outreach * workshops <br><br>

<b>SexAbility</b> -- sexual health information in person and by phone for youth and young adults 14-29 years with mobility disabilities * peer counselling * workshops, presentations, social events * call for appointment",2015-02-12
