,,,"Middlesex, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Age characteristics","    45 to 49 years",,   29515,,   14395,,   15115,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   34500,,   16800,,   17700,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,   32960,,   15800,,   17155,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,   28330,,   13400,,   14935,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   76745,,   33815,,   42935,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,   24875,,   11655,,   13225,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,   18030,,    8340,,    9690,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,   13240,,    6025,,    7220,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    9860,,    4130,,    5725,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,   10740,,    3665,,    7075,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    6480,,    2465,,    4010,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    3365,,     990,,    2380,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     785,,     195,,     595,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,     105,,      15,,      90,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   16.4,,   17.3,,   15.6,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   66.7,,   67.5,,   66.0,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   16.8,,   15.3,,   18.3,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.4,,    1.7,,    3.0,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   40.7,,   39.5,,   41.8,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   40.3,,   38.9,,   41.7,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,  190045,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,  104350,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,   33990,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   51235,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    6805,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,   21045,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,    4555,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   18575,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     250,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     475,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,  190045,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",,   57590,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",,   65535,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",,   28090,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",,   25005,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,   13820,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  448535,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.4,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  380690,,  183045,,  197645,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,  210830,,  105270,,  105550,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,  176270,,   88000,,   88270,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",,   34560,,   17275,,   17285,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,  169860,,   77770,,   92090,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,  111315,,   58920,,   52395,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,   12640,,    5375,,    7265,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,   24300,,    9190,,   15110,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,   21605,,    4285,,   17320,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  125590,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   64315,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,   26520,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,   23755,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,   11000,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  125590,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,  103290,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   86015,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,   17275,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   22300,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,   17870,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    4430,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  103290,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   50690,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,   52600,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,   20225,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,   22005,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,   10380,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   22300,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,   13625,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,    6300,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,    2380,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   86215,,   40245,,   45965,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,  190045,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,  120870,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   48980,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   71895,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,    2320,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,   66855,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,   57595,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    9260,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  450290,,  219135,,  231155,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,  412845,,  203365,,  209480,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,     225,,     110,,     120,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,   30820,,   13020,,   17800,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,    6400,,    2640,,    3760,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  450290,,  219135,,  231155,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,  436705,,  213200,,  223505,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    5290,,    2405,,    2880,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,    2060,,     965,,    1095,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,    6240,,    2560,,    3680,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    6320,,    2890,,    3425,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    1.4,,    1.3,,    1.5,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  450290,,  219135,,  231150,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,  442250,,  215200,,  227050,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,  358070,,  174830,,  183245,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,  352755,,  172425,,  180330,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    5315,,    2405,,    2910,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,   84180,,   40370,,   43810,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,     135,,      50,,      90,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,      65,,      20,,      45,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,      10,,       0,,       5,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       5,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       5,,       5,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       5,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,      55,,      20,,      35,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,      50,,      20,,      30,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       5,,       0,,       5,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       5,,       5,,       5,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       5,,       0,,       0,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,      55,,      20,,      40,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,      45,,      15,,      30,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       5,,       0,,       5,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,      15,,       5,,       5,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,   84045,,   40325,,   43720,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,   13080,,    6675,,    6405,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,      15,,      10,,       5,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,      10,,       5,,       5,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       5,,       5,,       0,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,     260,,     120,,     140,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       5,,       0,,       5,,     250,,     140,,     110,
"Mother tongue","            Oromo",,      15,,      10,,      10,,    1445,,     720,,     730,
"Mother tongue","            Somali",,     235,,     110,,     125,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       5,,       0,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,   12785,,    6535,,    6250,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,     260,,     130,,     130,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,   10620,,    5435,,    5185,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,    1045,,     525,,     520,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,     205,,     105,,     105,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       5,,       0,,       0,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,     140,,      75,,      60,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,     205,,     110,,      95,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,     255,,     130,,     125,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,      60,,      25,,      30,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      20,,      10,,       5,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,    2535,,    1160,,    1380,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,     780,,     360,,     420,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,    1755,,     795,,     955,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,    1935,,     740,,    1195,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       5,,       0,,       5,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,      80,,      20,,      55,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       5,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,      25,,      10,,      15,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,     165,,      75,,      90,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,     130,,      65,,      65,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      15,,       5,,      10,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    1490,,     560,,     930,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,      25,,       5,,      15,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,      75,,      30,,      40,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       5,,       5,,       5,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,      25,,      15,,      10,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,      45,,      15,,      25,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,    1365,,     725,,     645,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,      55,,      35,,      20,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,     830,,     425,,     410,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,     330,,     170,,     160,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,     150,,      95,,      55,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,      10,,       5,,       0,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,   50125,,   24005,,   26120,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,    1015,,     525,,     490,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,      90,,      45,,      45,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,   11930,,    5570,,    6360,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,     245,,     100,,     145,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,      85,,      35,,      45,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,     160,,      65,,      95,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,   11685,,    5470,,    6215,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,      15,,       5,,      10,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,     630,,     310,,     315,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,      70,,      35,,      40,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,     860,,     425,,     435,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     380,,     175,,     200,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,      95,,      40,,      60,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    5490,,    2535,,    2955,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,    1385,,     630,,     755,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,     835,,     425,,     405,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,     335,,     160,,     170,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,     350,,     160,,     190,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,     240,,     100,,     140,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,     965,,     445,,     520,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,      40,,      15,,      25,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      35,,      15,,      20,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,      15,,       5,,      10,,     450,,     210,,     240,
"Mother tongue","            Welsh",,      15,,       5,,      10,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,      10,,       0,,       5,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    7705,,    3495,,    4215,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,      70,,      35,,      35,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,     200,,     105,,      95,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,    3620,,    1675,,    1945,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      75,,      35,,      40,,    1240,,     630,,     620,
"Mother tongue","            German",,    3370,,    1480,,    1890,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,      10,,       0,,       5,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,      30,,      15,,      15,,     940,,     405,,     540,
"Mother tongue","            Swedish",,      75,,      40,,      30,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,     225,,      90,,     135,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,      30,,      15,,      10,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       5,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,    1815,,     895,,     920,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,    8750,,    4530,,    4220,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,    5630,,    2940,,    2695,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,     455,,     230,,     230,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,     710,,     375,,     335,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,     835,,     450,,     380,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,      30,,      10,,      15,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,      85,,      45,,      35,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,     725,,     355,,     365,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,      10,,       5,,       5,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,    1065,,     575,,     490,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,      60,,      35,,      30,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,     130,,      65,,      70,,   10165,,    4925,,    5235,
"Mother tongue","              Urdu",,    1525,,     785,,     740,,  152385,,   76795,,   75595,
"Mother tongue","            Iranian languages",,    3090,,    1570,,    1515,,  139675,,   70270,,   69405,
"Mother tongue","              Kurdish",,     995,,     525,,     470,,    6665,,    3615,,    3050,
"Mother tongue","              Pashto",,     185,,      90,,      95,,   10950,,    5630,,    5315,
