,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
10,Evangel Hall,(50) Non Profit ; (51) Registered Charity,416-504-3563,information@evangelhall.ca,www.evangelhall.ca,"552 Adelaide St W
Toronto, ON     M5V 3W8","Waterfront Communities-The Island, 77",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Administration -- Mon-Fri 9 am-5 pm<br><br>

<b>Adult drop-in</b> -- Mon-Fri 9 am-12:30 pm, Sat and statutory holidays 9 am-2:30 pm * <b>children and youth breakfast club</b> -- Thu 7:30 am-8:45 am * <b>community supper</b> --  Sundays and 2nd and 3rd Thursday of each month at 5:30 pm, families welcome * <b>Nursing services</b> -- Tue, Fri 10 am-12 noon",Homeless or socially isolated men and women * some programs for children and youth,English,Call or drop in,"<b>Adult drop-in</b> -- soup, sandwiches, coffee and tea with hot meal at 10:30 am * counselling, including budgeting and addictions referral * form filling * housing help * shower and laundry facilities * emergency clothing * voluntary trusteeships for local residents * nursing services -- Tue, Fri 10 am-12 noon * dental clinic -- call for eligibility criteria and appointment, ext 290 * Downtown Legal Services -- call for date and time, ext 240 * ID Clinic, Monday mornings * Alcoholics Anonymous, Narcotics Anonymous Mon-Fri, statutory holidays at noon * Spirit Circle, open to everyone, ext 224 * Bible study/discussion group, Sunday worship, ext 224<br><br>

<b>Meal programs</b> -- children and youth breakfast club * community supper <br><br>

<b>Youth programs</b> -- September to June, 416-504-3563 ext 229 -- Homework Club, Monday 3 pm-6 pm * Boys Club Tuesday 3 pm-5:45 pm * Girls Club Wednesday 3 pm-5:45 pm * Teen Drop-in, Thursday 3 pm-6 pm",2015-08-13
11,George Brown College,(50) Non Profit,416-415-4547,chsclientservices@georgebrown.ca,www.georgebrown.ca/clinic,"51 Dockside Dr, 3rd Fl
Toronto, ON     M5A 0B6","Waterfront Communities-The Island, 77",Wheelchair accessible building including main entrance and barrier free washrooms,Mon-Thu 8 am-7 pm * Fri 8 am-3 pm,Persons in reasonable health and oral condition,English ; other languages may be available,Call or email for an appointment,"Student clinicians work weekdays during academic year under direct supervision of dentists, denturists, dental hygienists and health sciences professionals<br><br>
Dental Clinic -- checkup, cleaning, sports guard, x-ray, filling * denture services<br><br>
Health Care Services -- hearing test * hearing aid dispensary * nutritional assessment, blood pressure check, health risk assessment * personal training",2014-03-18
12,Humber River Hospital,(50) Non Profit ; (51) Registered Charity,416-242-1000 ext 42000 * Emergency Psychiatric Unit 416-242-1000 ext 43600,,www.hrh.ca,"1235 Wilson Ave
Toronto, ON     M3M 0B2","Downsview-Roding-CFB, 26",Unknown,Mon-Sun 24 hours,,English ; telephone service provides access to interpreters for over 140 languages,,Hospital emergency department * emergency psychiatric unit * geriatric emergency management nurses * entrance on Morton Shulman Ave,2015-10-16
13,Hospital for Sick Children,(50) Non Profit ; (51) Registered Charity,Switchboard 416-813-1500 ; Patient Inquiry 416-813-6621,,www.sickkids.ca,"555 University Ave
Toronto, ON     M5G 1X8","Bay Street Corridor, 76","Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator, lowered buttons",Mon-Sun 24 hours,Children and youth birth-17 years,English ; Interpretive services,,"Pediatric acute care hospital * dental clinic * Epilepsy classroom for children with intractable epilepsy * psychiatry<br><br> 
<a href=""http://www.sickkids.ca/IPP/For%20Patients%20and%20Families/For%20Families%20and%20Patients.html""><b>International Patient Office</b></a>
416-813-7680 * for out of country families seeking to arrange treatment for their child * <b>Herbie Fund</b> -- provides funds for children outside Canada requiring treatment not available in their own countries<br><br>
<b>SCAN (Suspected Child Abuse and Neglect) Program</b> 416-813-6245, 416-813-6275 * Monday-Friday 9 am-5 pm * 416-813-7500 after hours * assessment of child abuse and neglect * consultation for parents/guardians, medical professionals and community workers regarding child abuse and neglect <br><br>
<b>Ontario Poison Centre </b>-- see separate entry",2015-12-29
14,Humber River Hospital,(50) Non Profit ; (51) Registered Charity,416-242-1000,,www.hrh.ca,"1235 Wilson Ave
Toronto, ON     M3M 0B2","Downsview-Roding-CFB, 26",Unknown,Mon-Sun 24 hours,,English ; telephone service provides access to interpreters for over 140 languages,,"Acute care hospital * medical and surgical inpatient services * diagnostic services * breast screening * breastfeeding clinic * cancer detection and treatment * cardiac care * diabetes education centre * dialysis * gastroenterology * geriatric services * gynecology * neurology* obstetrics * ophthalmology * oral and dental surgery * orthopedics * otolaryngology * palliative care * pediatrics * plastic surgery * respiratory care * speech language pathology * urology<br>
<br>
<b>Mental Health and Addictions Program</b> -- crisis, inpatient and outpatient services for children, adolescents and adults * concurrent disorders * day treatment * early intervention in psychosis * child and adolescent transition day program * Bridgeway Chemical Dependency Program * withdrawal management",2015-10-16
15,Unison Health and Community Services,(50) Non Profit ; (51) Registered Charity,416-787-1661,,www.unisonhcs.org,"12 Flemington Rd
Toronto, ON     M6A 2N4","Englemount-Lawrence, 32",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Elevator with braille,"Mon-Thu 8:30 am-8:30 pm, Fri 8:30 am-5 pm","Health Services -- open to all within catchment area * Toronto Public Health dental clinic -- children, adolescents, parents enrolled in select Toronto Public Health programs and seniors","English ; interpreters for Italian, Portuguese, Russian, Somali, Spanish * other languages available with 24 hour notice",,"Community health centre * health services, health promotion, community services and community development * legal clinic * no Ontario Health Insurance required for general services 
<br><br>
<b>Health Services</b> -- family practice including crisis pregnancy, family planning, management of chronic conditions, prenatal and postnatal care, preventative health care, seniors’ health, sexual health --  individual and sexuality counselling,  treatment of sexually transmitted diseases * counselling and case management * dietitian * podiatry clinic
<br><br>
<b>Health Promotion</b> -- anonymous HIV testing * breastfeeding clinic * child and parenting programs * Diabetes Education Program * Diabetes Prevention Program * harm reduction programs * Toronto Public Health dental clinic * youth programs
<br><br>
<b>Pathways to Education</b> 416-787-6800 -- academic and financial support for high school students * located at Lawrence Square 700 Lawrence Ave W, Ste 440B, Toronto M6A 3B4
<br><br>
<b>Unison Links</b> 416-787-1676 ext 275 -- drop-in information and referral centre * Monday, Tuesday 9:30 am-12:30 pm, 1:30 pm-4:30 pm; Wednesday 9:30-12 noon, 1 pm-2:30 pm * form filling * help with accessing government and community programs * information on services at Unison and other agencies * internet access for searching community, social, health and related government services",2015-10-22
16,Toronto Police Service,(20) Regional Government,416-808-2222,,www.torontopolice.on.ca,"Headquarters
40 College St
Toronto, ON     M5G 2J3","Bay Street Corridor, 76",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features - lowered buttons ; Dedicated accessible washroom with all features ; Designated parking ; Street parking,"Mon-Sun 24 hours * Headquarters Lobby -- Mon-Fri 7 am-7 pm, Sat-Sun 9 am-5 pm",,English ; service available in over 60 other languages; immediate interpretation for 911 calls in over 140 languages,,"Prevents and investigates offences against persons and property * apprehends offenders * crime prevention resource information on website * file a report or traffic complaint online at <a href=""http://www.torontopolice.on.ca/core"">www.torontopolice.on.ca/core</a>
<br><br>
<b>Police Stations</b> -- search for local divisions by address at <a href=""http://www.torontopolice.on.ca/uniform.php"">Divisional Policing Command</a> or call main number 416-808-2222 * also call or drop in to report missing persons within Toronto
<br><br>
<b>Bad Date Hotline 416-808-0000</b> -- anonymous hotline for sex trade workers who wish to report abuse or violence 
<br> <br> 
<b>Collision Reporting Centres</b> -- 113 Toryork Dr, North York, 416-808-3960 * 39 Howden Rd, Scarborough, 416-808-4960
<br> <br> 
<b>Parking Enforcement 416-808-6600</b>  -- to report unauthorized vehicles in spaces reserved for persons with disabilities * information on parking enforcement, private parking issues, impounded vehicles, request for trial, and requests for review of parking tickets
<br> <br> 
<b>Records Management 416-808-7991</b> -- police reference check program * for <a href=""http://www.torontopolice.on.ca/recordsmanagement/clearance.php"">online clearance letters </a> 
<br><br>
<b>Divisional Policing Support Unit (DPSU) 416-808-0100</b> -- programs and services for community mobilization, crime prevention and reduction * Aboriginal Peacekeeping * Elder Abuse * French Services * Graffiti Management Program * Mental Health * Newcomer Outreach * Toronto Anti-Violence Intervention Strategy (TAVIS) * TPSlinks -- community automated notification system * Volunteer program * other outreach programs * <b>services provided by other agencies</b> -- Victim Services Program of Toronto, Toronto Crime Stoppers (see separate entries)
<br><br> 
<b>Corporate Communications 416-808-7100</b> -- news releases, public education and media relations<br><br> 
<b>Toronto Police Service Telephone Directory</b> -- 
<a href=""http://www.torontopolice.on.ca/directory"">www.torontopolice.on.ca/directory</a>",2015-04-09
17,Morgentaler Clinic,(50) Non Profit,416-932-0446,mclinic@passport.ca,www.morgentaler.ca,"727 Hillsdale Ave E
Toronto, ON     M4S 1V4","Mount Pleasant East, 99","Wheelchair accessible building, but call ahead to make arrangements * street parking","Mon-Wed 9 am-6 pm, Thu 9 am-7 pm, Fri 9 am-6 pm, Sat 9 am-4 pm * after hours -- emergency calls returned within one hour",,English ; American Sign Language (ASL) ; Filipino ; Italian ; interpreters available for over 60 languages,"Call for appointment only after positive pregnancy test obtained through pharmacy, doctor, medical clinic or home pregnancy test",Abortions up to 19 weeks gestation * 24 hour emergency service for clients who have had a recent abortion * taped information Monday-Sunday 24 hours,2015-03-13
18,Mount Sinai Hospital,(50) Non Profit,Switchboard 416-596-4200 * Patient Inquiry 416-586-8300,patientrelationsunit@mtsinai.on.ca,www.mtsinai.on.ca,"Joseph and Wolf Lebovic Health Complex
600 University Ave
Toronto, ON     M5G 1X5","Kensington-Chinatown, 78",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Parking garage on Murray St,"Mon-Sun 24 hours * call or visit website for <a href=""http://www.mountsinai.on.ca/patients/directions-parking/visiting-hours"">visiting hours</a>",,English ; Interpretive Services,,"Acute care hospital * geriatric psychiatry * Ontario Breast Screening Program * women's and infants' health<br><br>

<b>Alzheimer's Support and Training Centre</b> for caregivers of people with dementia providing care at home<br><br>

<b>Clinic for HIV Related Concerns</b> -- psychiatric and mental health services for those affected or infected by HIV<br><br>

<b>Dental Clinic</b> -- including care for persons with HIV or AIDS, and persons with physical and developmental disabilities * referral required<br><br>

<b>Family Medicine Centre</b> 416-586-4800 ext 5068 (at 60 Murray St)<br><br>

Some services offered at 60 Murray St or 700 University Ave",2015-12-03
19,North York General Hospital,(50) Non Profit ; (51) Registered Charity,416-756-6000,,www.nygh.on.ca,"4001 Leslie St
Toronto, ON     M2K 1E1","Bayview Village, 52",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,,,English ; French ; Interpretive services,,"Acute care hospital * breast diagnostic centre * breastfeeding support * cancer detection and treatment * cardiac care * genetic services * general surgery * geriatric care * mental health including adult, geriatric, child and adolescent * obstetrics * ophthalmology * orthopedics * otolaryngology * palliative care for cancer * Parkinson's Disease education * pediatrics * plastic surgery * prenatal and postnatal care * stroke unit * urology",2015-10-06
20,Ontario. Ministry of Health and Long-Term Care,(30) Provincial Government,416-314-5518,infoline.moh@ontario.ca,www.health.gov.on.ca/en/common/,,,Not Applicable,Mon-Fri 8:30 am-5 pm,,English ; French,,"Bilingual telephone information and referral on Ministry of Health and Long-Term Care programs, including how to apply for Ontario Health Insurance, Ontario Drug Benefits, Assistive Devices Program (ADP) and long term care * referrals to ServiceOntario Publications for Ministry publications * does not provide medical advice or counselling",2015-03-12
21,Telehealth Ontario,(30) Provincial Government,,,www.health.gov.on.ca/en/public/programs/telehealth,,,Not Applicable,Mon-Sun 24 hours,,English ; French ; interpreters available for other languages,,"Confidential telephone service * Registered Nurses provide advice on symptoms, treatment and health care * general health information * referral to community services *  no Ontario Health Insurance required * program of Ontario, Ministry of Health and Long-Term Care",2014-05-26
22,Ontario. Ministry of Health and Long-Term Care,(30) Provincial Government,416-327-4327,,www.health.gov.on.ca,"Hepburn Block
80 Grosvenor St, 10th FL
Toronto, ON     M7A 2C4","Bay Street Corridor, 76",Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator with lowered buttons * street parking,Mon-Fri 8:30 am-5 pm,Varies by program,English ; French ; interpreters may be available for other languages,MedsCheck -- contact local pharmacist to schedule an appointment,"Overall responsibility for health care system in Ontario * funds public and private hospitals, community and public health programs including community mental health * regulates hospitals and long term care facilities * operates provincial psychiatric hospitals and medical laboratories * coordinates emergency health services * administers Ontario Health Insurance -- see separate entries for ServiceOntario * administers Assistive Devices Program and Public Drug Programs -- see separate entries<br> 
<br> 

<b><a href= ""http://www.bedbugsinfo.ca""> www.BedBugsInfo.ca</a></b> -- online information on bed bug infestation prevention, identification and management<br><br>

<b><a href= ""http://www.eatrightontario.ca""> www.EatRightOntario.ca</a>, 1-877-510-5102</b> -- registered dietitians answer questions on nutrition and healthy eating by phone or email * online information and resources <br> <br>

<b><a href= ""http://www.healthyontario.ca"">www.HealthyOntario.ca</a></b> -- online information on healthy eating and active living, including fitness, nutrition and meal preparation <br> <br> 

<b><a href= ""http://www.medscheck.ca"">www.MedsCheck.ca</a> </b> -- annual 30 minute medication review with local pharmacist for Ontario residents taking a minimum of 3 chronic medications, patients with type 1 or type 2 diabetes, and patients living in long term care facilities * covered by Ontario Health Insurance<br><br>

<b><a href= ""http://www.ontariowaittimes.ca""> www.OntarioWaitTimes.ca</a></b> -- online access to information regarding wait times for emergency rooms and for adult and pediatric treatment in key areas<br><br>

<b>Illegal billing hotline</b>, 1-888-662-6613, protectpublichealthcare@ontario.ca -- provides information and receives complaints concerning illegal billing for OHIP-insured services",2015-06-12
23,Parkdale Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-537-2455,info@pchc.on.ca,www.pchc.on.ca,"1229 Queen St W
Toronto, ON     M6K 1L2","Roncesvalles, 86",Wheelchair accessible building including main entrance * wheelchair accessible and gender neutral washrooms,"Mon-Tue, Thu 9 am-8 pm; Wed 9 am-12 noon, 3 pm-8 pm; Fri 9 am-5 pm; Sat 10 am-1 pm * after hours answering service and on-call doctor available for registered patients","Priority to those who encounter barriers to high quality health care services including newcomers, racialized communities, people who are homeless or living near the street, people with mental health challenges and addictions, people living with visible and invisible disabilities, isolated seniors, LGBTQ communities and people living in poverty",English ; Portuguese ; Spanish ; Tamil ; telephone interpretation available for other languages,,"Community health centre<br><br>

<b>Primary health care </b>for registered patients -- acupuncture * diabetes management * flu shots * foot clinic * healthy child screenings * infant hearing tests * naturopathy * physiotherapy * psychiatry, counselling and therapy * no Ontario Health Insurance required for general services<br><br>

<b>Street health and harm reduction programs</b> for homeless, underhoused, and street-involved persons including those with psychiatric problems or drug addictions, and sex trade workers * anonymous HIV testing * needle exchange * case management * ID clinic<br><br>

<b>Dental services </b>-- West End Oral Health Clinic for low-income adults living in Parkdale * Healthy Smiles Ontario for eligible children and youth under 17 years<br><br>

Health education and community support programs for families, seniors, newcomers, Roma, and LGBTQ (lesbian, gay, bisexual, trans and questioning) community",2014-09-11
24,"University Health Network, Toronto Rehabilitation Institute",(50) Non Profit ; (51) Registered Charity,"416-597-3422, ext 3000 ; 416-59-REHAB, ext 3000",,www.uhn.ca/torontorehab,"550 University Ave
Toronto, ON     M5G 2A2","Kensington-Chinatown, 78","Wheelchair accessible building including main entrance and barrier free washrooms * tone elevator, lowered buttons * designated and street parking close to entrance",,,English ; interpreters for many languages,,"Rehabilitation facility * day hospital * outpatient services<br><br>
Outpatient Clinics -- brain injury rehabilitation * complex injury rehabilitation * geriatric medical and psychiatry clinics * multiple sclerosis rehabilitation * musculoskeletal rehabilitation * spasticity management * stroke rehabilitation<br><br>
Dental Service -- for inpatients and outpatients with special needs",2014-01-21
25,Trillium Health Partners,(50) Non Profit ; (51) Registered Charity,416-259-6671,,www.trilliumhealthpartners.ca,"150 Sherway Dr
Toronto, ON     M9C 1A5","Islington-City Centre West, 14",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Urgent care centre -- Mon-Sun 8 am-10 pm * call for hours of other services,,English ; interpreters for many languages,,"Urgent care centre, day surgery, outpatient services, and clinics<br><br>

Cancer detection and treatment * cardiac rehabilitation centre * geriatric care * hand therapy program * pulmonary function laboratory * spine centre * women's health centre * Ontario Breast Screening Program<br><br>
Mental health services<br>

Assertive Community Treatment Team (ACTT) -- treatment, rehabilitation and support services for people with severe and persistent mental illness * child and adolescent mental health services * geriatric mental health ambulatory clinic<br><br>

<a href="" http://www.westgtastroke.ca "">West GTA Stroke Network</a> -- online information on stroke, risk factors, prevention and community resources",2013-11-05
26,Regent Park Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-364-2261,,www.regentparkchc.org,"465 Dundas St E
Toronto, ON     M5A 2B2","Moss Park, 73",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,"Mon, Wed-Thu 9 am-7:30 pm; Tue 12 noon-7:30 pm; Fri 9 am-5 pm * doctor on call Mon-Sun 24 hours",Persons in catchment area or persons who are homeless * youth health clinic -- youth 14-25 years,English ; cultural interpreters may be available for some languages,Call for appointment,"<b>Community health centre</b> -- doctors, nurses * community nursing clinics * prenatal and postnatal care * HIV/AIDS care * foot care * social workers * diabetes education program * community gardens * advice on healthy eating * care for seniors in the community * low cost dental care * youth walk-in health clinic, Monday 4 pm-7 pm<br><br>
<b>Homeless outreach </b>-- shower and laundry facilities * harm reduction and support services for people with addictions * housing project for Africans who are homeless<br><br>
<b>Immigrant/Refugee programs </b>-- information and referral * individual advocacy<br><br>
<b>Pathways to Education 416-642-1570 ext 262</b> -- academic and financial support for high school students",2014-12-05
27,Runnymede Healthcare Centre,(50) Non Profit ; (51) Registered Charity,416-762-7316,communications@runnymedehc.ca,www.runnymedehc.ca,"625 Runnymede Rd
Toronto, ON     M6S 3A3","Junction Area, 90",Wheelchair accessible building including main entrance and barrier free washrooms * lowered elevator buttons * designated parking,"Mon-Fri 8 am-9 pm, Sat-Sun 10 am-9 pm",Medically-complex adults with multiple chronic or progressive illness and severe functional disabilities,English ; interpreters may be available for other languages,Apply through Patient Flow Office,Complex continuing care hospital * rehabilitation * speech therapy * dental care * foot care,2015-03-05
28,Scarborough Hospital,(50) Non Profit,416-495-2400,,TSH.to,"3030 Birchmount Rd
Toronto, ON     M1W 3W3","L'Amoreaux, 117",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator with lowered buttons * designated parking,Mon-Sun 24 hours,,English ; Interpretive services,,"Acute care hospital * cancer care * geriatric care * maternal and newborn care * pediatrics * psychiatry<br><br>
Outpatient services -- adult mental health program * diabetes education centre",2015-12-31
29,Scarborough Hospital,(50) Non Profit,416-438-2911,,TSH.to,"3050 Lawrence Ave E
Toronto, ON     M1P 2V5","Bendale, 127",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,,English ; Interpretive services,,"Acute care hospital * cancer care * geriatric care * maternal and newborn care * pediatrics * psychiatry<br><br>
<b>Outpatient services</b> -- heart function clinic * Geriatric Assessment and Intervention Network (GAIN) Clinic * speech and language program<br><br>
Lifeline Program 416-442-5583 * emergency response program to help frail elderly and medically at risk persons to continue to live in their own homes * fee",2015-12-31
30,St Joseph's Health Centre,(50) Non Profit,416-530-6000,,www.stjoe.on.ca,"30 The Queensway
Toronto, ON     M6R 1B5","High Park-Swansea, 87",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking on street and in parking garage,Mon-Sun 24 hours,,English ; interpreter services for other languages,,"Acute care hospital * surgery and cancer care * obstetrics and pediatrics * psychiatric unit <br><br>

<b>Ambulatory Care Centre</b> -- wide range of outpatient clinics * physician referral required<br><br>

<b>Family Medicine Centre</b> 416-530-6860 -- Monday-Thursday 9-8, Friday 9-5 * online list of <a href=""http://www.stjoe.on.ca/patients/accepting_patients.php
"">physicians</a> accepting new patients<br><br>

<b>Mental Health Programs </b>-- outpatient mental health * child and adolescent program * substance abuse during pregnancy * <b>Mobile Crisis Intervention Team</b> in response to 911 call<br><br>

<b>Elderly Community Health Services </b>-- assessment and consultation for frail elderly persons * referrals to community supports * Community Osteoporosis Program with Education (COPE)<br><br>

<b>Lifeline Program </b>416-530-6453 -- 24 hour emergency response program to help seniors and medically at risk persons to continue to live safely in their own homes * fee-for-service",2016-02-08
31,St Michael's Hospital,(50) Non Profit,Switchboard 416-360-4000 * Patient Inquiry 416-864-5454,,www.stmichaelshospital.com,"30 Bond St
Toronto, ON     M5B 1W8","Church-Yonge Corridor, 75",Bond St entrance not wheelchair accessible * Queen and Victoria St entrances wheelchair accessible * barrier free washrooms * braille elevator Queen and Victoria St * entrances close to parking,Mon-Sun 24 hours,,English ; Interpretive services,,"Acute care hospital * critical care * trauma * heart and vascular disease * neurosurgery * diabetes comprehensive care * regional stroke centre<br><br>

<b>Inner City Health Program </b>-- inpatient and outpatient services * outreach * emphasis on health issues affecting disadvantaged and high risk populations * palliative care for homeless and marginally housed people<br><br>

<b>HIV/AIDS program </b>-- positive care program in several areas of the hospital * post exposure risk assessment, counselling and treatment recommendations * HIV psychiatry program * palliative care * Positive Pregnancy program",2016-02-29
