,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
10,Humber River Hospital,(50) Non Profit ; (51) Registered Charity,416-242-1000,,www.hrh.ca,"1235 Wilson Ave
Toronto, ON     M3M 0B2","Downsview-Roding-CFB, 26",Unknown,Mon-Sun 24 hours,,English ; telephone service provides access to interpreters for over 140 languages,,"Acute care hospital * medical and surgical inpatient services * diagnostic services * breast screening * breastfeeding clinic * cancer detection and treatment * cardiac care * diabetes education centre * dialysis * gastroenterology * geriatric services * gynecology * neurology* obstetrics * ophthalmology * oral and dental surgery * orthopedics * otolaryngology * palliative care * pediatrics * plastic surgery * respiratory care * speech language pathology * urology<br>
<br>
<b>Mental Health and Addictions Program</b> -- crisis, inpatient and outpatient services for children, adolescents and adults * concurrent disorders * day treatment * early intervention in psychosis * child and adolescent transition day program * Bridgeway Chemical Dependency Program * withdrawal management",2015-10-16
11,LOFT Community Services,(50) Non Profit ; (51) Registered Charity,416-977-6250,ingles@loftcs.org,www.loftcs.org,,,Not Accessible,,"Young women 16-24 years in recovery for addictions, with a goal of abstinence * expected to be employed, or enrolled in a job preparation, education or treatment program during the day * methadone referrals accepted",English,Professional or self referral * phone for application and interview,"High support residence, capacity 9 * staffed 24 hours * abstinent environment * addiction case management * counselling * life skills * anger management * medium or low support transitional peer support housing, capacity 17 * post-discharge community support * voluntary after-care group and weekly supper club",2015-09-08
12,Griffin Centre,(50) Non Profit ; (51) Registered Charity,416-222-1153,contact@griffincentre.org,www.griffincentre.org,"1124 Finch Ave W, Unit 1
Toronto, ON     M3J 2E2","York University Heights, 27",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Thu 8:30 am-8 pm, Fri 8:30 am-5 pm * after hours -- 24 hour on call service","<b>Mental Health Program</b> -- youth 12-18 years with mental health concerns who are experiencing difficulties at home, school or in the community * <b>Dual Diagnosis Service</b> -- youth 12-18 years with a developmental disability and complex mental health needs, and adults 16 years and older with a developmental disability, with or without accompanying complex mental health needs * <b>reachOUT Newcomer Network</b> -- youth with disabilities and LGBTQ youth 13-24 years, who are permanent residents or government assisted refugees, and their families",English ; Farsi ; Spanish ; Interpretation for other languages arranged,,"Flexible, community-based mental health services * assessment of strengths and needs * individual, family, group and short term counselling * crisis support * substance use treatment * sexual assault harm reduction treatment for offenders (limited capacity) * case management * school-based prevention and consultation * skill development * after school groups * summer work experience opportunities * preparation for independence * youth and family involved in service planning and decisions * consultation for parents, schools, agencies, communities<br><br>

<b>Dual Diagnosis Service (Mental Health/Development Disability)</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse * day/school support services * respite/residential care<br><br>

<b>Helping Youth Towards Solutions</b> -- harm reduction approach * individual and group counselling * family education and support * outreach to secondary schools * day school support service, in collaboration with Toronto District School Board<br><br>

<b>Mental Health Program</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse<br><br>

<b>reachOUT</b> -- counselling and support for all youth 12-18 years, and their families * drop-in support groups, outreach, advocacy, workshops, social and recreation activities for LGBTQ youth * <b>Compass</b> -- social group for LGBTQ youth 13-24 years, with or labelled with intellectual disabilities, includes workshops and recreational activities * <b>reachOUT Newcomer Network</b> -- settlement services * community capacity building<br><br>

<b>Transitional Support Services</b> -- day program for adults with developmental disabilities includes life skills and self care, household management, budgeting skills  * residential program -- supported living, 24 hour staff support * capacity 5 * maximum stay up to 2 years<br><br>

Services offered at various locations",2015-06-29
13,Jean Tweed Centre,(50) Non Profit ; (51) Registered Charity,416-255-7359,info@jeantweed.com,www.jeantweed.com,"215 Evans Ave
Toronto, ON     M8Z 1J5","Mimico, 17",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Office -- Mon-Fri 9 am-5 pm * programs Tue-Thu 9 am-9 pm,"Women 16 years and older who have problems with alcohol, other drugs or problem gambling, and their families * all services available to women on methadone * child development centre -- children 6 years and under",English,Professional or self referral * weekly information session,"Intensive 3 week residential and day treatment program, or individual counselling program over an extended period * pretreatment services and continuing care for 2 years * counselling services for women who have experienced trauma and who have completed the general program * family education and counselling * child care and child development services available * program for women with concurrent disorders currently in the criminal justice system<br><br>

<b>Pathways to Healthy Families</b> -- holistic, culturally responsive outreach program for pregnant or parenting women * service coordination and case management * access to support and counselling (individual, family, group), and child development services<br><br>

Also supportive housing and outreach services for women with mental health and substance abuse problems * all programs trauma informed",2016-01-07
14,Hospital for Sick Children,(50) Non Profit ; (51) Registered Charity,416-813-5804,,www.sickkids.ca/AdolescentMedicine/What-We-Do/index.html,"555 University Ave
Toronto, ON     M5G 1X8","Bay Street Corridor, 76","Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator, lowered buttons",,Children and youth 18 years and under,English ; Interpretive services,Medical referral required,"<b>Eating Disorders Program</b> -- diagnosis and treatment * inpatient and outpatient programs<br><br>
<b>Substance Abuse Day Treatment Program</b> -- harm reduction approach * individual and group treatment * academic program<br><br>
<b>Young Families Program</b> -- for teen parents and their children * well baby care * nutrition and feeding * parenting education",2015-12-29
15,Breakaway Addiction Services,(50) Non Profit ; (51) Registered Charity,416-234-1942,breakaway@breakawayaddictions.ca,www.breakawayaddictions.ca,"21 Strickland Ave
Toronto, ON     M6K 3E6","Roncesvalles, 86",Wheelchair accessible automatic main entrance ; Barrier-free washrooms ; Lot parking ; Community locations vary,"Mon-Thu 9 am-5 pm, Fri 9 am-1 pm * after hours -- by appointment only * individual programs may vary","Varies for individual programs, see below",English,"Self, family, professional or agency referral * will accept collect calls from correctional facilities * <b>Supportive Housing</b> -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application * <b> Opiate Addiction Treatment Services</b> -- call 416-537-9346 or drop in","Comprehensive, community-based, individualized addiction treatment and harm reduction services including street and community outreach<br><br>

<b>Clear Directions Day Treatment Program</b> -- for youth 14-18 years with addictions and mental health problems * school program including academic, therapeutic, and substance use support * in collaboration with George Hull Centre for Children and Families and Toronto District School Board<br><br>

<b>Family and Youth Initiatives</b> -- outpatient treatment for youth 12-24 years with substance abuse related problems, and their families * parent support groups * adult information evenings * groups for youth mandated clients * consultation and supportive assistance to families and significant others when users are not in treatment * community professionals and agency staff -- consultation and training in early identification and management of substance abuse * community education and prevention programs * outreach in some schools<br><br>

<b>Harm Reduction Outreach</b> -- for drug users 12 years and older who are street involved or in conflict with the law * street outreach including counselling, needle exchange, harm reduction supplies, free condoms * outreach to Vanier Centre for Women<br><br>

<b>Opiate Addiction Treatment Services</b> -- outpatient, harm reduction treatment including pharmacotherapies such as methadone, and individual and group counselling * intake and assessment * case management * treatment planning and review * referral and advocacy for housing, employment, social assistance * social and recreation programs<br><br>

<b>Supportive Housing</b> -- for individuals 16 years and older, who have problematic substance use and require stable housing * Housing First Model of supportive housing * engagement in addiction treatment or abstinence not required * in partnership with Regeneration Community Services (see separate entry) <br><br>
 
<b>Toronto Opiate Support Team (TOST)</b> -- for individuals who use opiates or replacement medications, and have little or no access to supportive services (no age restrictions) * case management, counselling and advocacy * flexible ongoing or short term support * training for community service providers * in collaboration with other community agencies * available in various community locations",2015-02-05
16,Narcotics Anonymous Toronto Area,(50) Non Profit,,mail@torontona.org,www.torontona.org,,,Some locations wheelchair accessible,Answering service contacts volunteers on call Mon-Sun 9 am-11 pm; messages can be left 11 pm-9 am,Drug addicts with a desire to stop using all mind altering substances including alcohol,English,Call or visit website for time and place of nearest meeting,12 step recovery program * daily group meetings,2014-11-06
17,Overeaters Anonymous,(50) Non Profit,416-588-6134,info@oaontario.org,www.oaontario.org,"Paulist Ministry Centre
830 Bathurst St
Toronto, ON     M5R 3G1","Annex, 95",Some locations wheelchair accessible - call or visit website for details,"Answering machine, calls usually returned within 48 hours",Compulsive overeaters with a desire to stop eating compulsively,English,"Call, email or visit website",Mutual help group modelled on 12 steps of Alcoholics Anonymous * no weigh-ins or diets * call or visit website for meeting times and locations,2016-02-02
18,Regeneration Community Services,(50) Non Profit ; (51) Registered Charity,416-703-9645,regen@regenerationcs.org,www.regenerationcs.org,"2238 Dundas St W, Ste 307
Toronto, ON     M6R 3A9","Roncesvalles, 86",Wheelchair accessible automatic main entrance ; Some residences wheelchair accessible -- call for details,Mon-Fri 9 am-5 pm,Men and women 16 years and older with a history of long term mental health and/or addiction problems,English,"Apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application * priority may be given to partner agencies and intake interview may be required","<b>Addiction Supportive Housing</b> -- housing support and case management for persons with severe addiction issues * Managed Alcohol Program -- 24 hour, high-support housing with harm reduction focus<br><br>

<b>Intensive Case Management Program</b> -- case management partnership program with Centre for Addiction and Mental Health and St Joseph's Health Centre Family Health Team (see separate entries) * support services * housing placement<br><br> 

<b>Mental Health Homelessness Initiatives Housing Program</b> -- high support housing * 4 locations * residential and personal care support -- services include meals, laundry, housekeeping, medication management<br><br>

<b>Residential Program</b> -- individualized, voluntary support including assessment, goal setting, skills teaching, resource exploration, linkages, advocacy<br><br>

<b>Step Up Housing</b> -- alternate level of care (ALC) program in partnership with Centre for Addiction and Mental Health * support services include meals, laundry, housekeeping, medication management",2016-01-05
19,Renascent,(50) Non Profit ; (51) Registered Charity,416-927-1202,info@renascent.ca,www.renascent.ca,"Wright Centre
38 Isabella St
Toronto, ON     M4Y 1N1","Church-Yonge Corridor, 75",Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Street parking close to entrance,Office -- Mon-Fri 8:30 am-4:30 pm * Helpline -- Mon-Sun 24 hours,"16 years or older, minimum 72 hours of sobriety, assessment",English,Call Helpline,"Alcoholism and drug addiction recovery programs * complete care -- 21 day primary care, relapse prevention aftercare, alumni care and family care, including children's and parenting programs * residential, outpatient and distant delivery * separate programs for men and women * immediate access * 12 step philosophy * workplace programs * home-like treatment settings",2016-01-05
20,Salvation Army,(50) Non Profit ; (51) Registered Charity,416-255-7070,info@tsa-bss.org,www.tsa-bss.org,"Titan Islington Plaza
1020 Islington Ave, Unit 9A
Toronto, ON     M8Z 6A4","Islington-City Centre West, 14",Unknown,"Mon-Fri 8:30 am-4 pm * after hours on-call support services -- Mon-Fri 4 pm-8:30 am, Sat-Sun and holidays 24 hours","Adults 18 years and older with a mental health disorder, a history of addiction (including concurrent disorder) or previous experience as a mental health services consumer * must have been recently housed, living in precarious housing conditions, or have a history of sporadic housing, and who are willing to live and participate in a cooperative environment",English,"Agency, professional, family or self referral * contact 416-255-7070 ext 256 for information or intake","Outreach agency * wrap around treatment services available to clients in their home or chosen community location * assessment, treatment and care plan development * assistance with housing and shelter * life skills development * medical, crisis and psychiatric support * food, clothing assistance * legal, financial, education and employment counselling * assistance with activities of daily living including personal care, meal preparation, grocery shopping * relationship building, leisure and recreation activities * spiritual counselling",2015-08-05
21,Salvation Army,(50) Non Profit ; (51) Registered Charity,416-363-5496,karen_french@can.salvationarmy.org,www.torontoharbourlight.ca,"160 Jarvis St
Toronto, ON     M5B 2E1","Church-Yonge Corridor, 75",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Street parking close to entrance,Assessment interviews -- Mon-Thu 8 am-4 pm * information Mon-Sun 24 hours,Residential program -- men 18 years and older with concurrent addiction and mental health disorders * Community program -- men 18 years and older who are struggling with substance abuse or dependence,English,Call intake worker,"<b>Residential Treatment Program</b> -- up to 14 weeks * life skills * symptom management * relapse prevention * psychiatric and medical support<br><br>

<b>Community Treatment Program</b> -- flexible group and individual treatment services in downtown Toronto and Scarborough",2015-02-03
22,Salvation Army,(50) Non Profit ; (51) Registered Charity,416-921-0953,elizabeth_price@can.salvationarmy.org,www.salvationarmyhomestead.org,"78 Admiral Rd
Toronto, ON     M5R 2L6","Annex, 95",Wheelchair accessible -- call for details * no client parking,Admissions Mon-Thu 8 am-2 pm * information and referral -- Mon-Sun 24 hours,"Women 18 years and older who are alcohol or chemical dependent, including those using methadone",English,Agency or self referral * call for assessment interview,"Residential and day treatment centre * assessment plus 9 week treatment program * 12 step program * optional spiritual component, chapel services * life skills * individual and group counselling * anger management * addiction education * conflict resolution * exercise/relaxation class * recreation activities * behaviour modification * aftercare * relapse prevention",2013-02-22
23,Griffin Centre,(50) Non Profit ; (51) Registered Charity,416-222-1153,contact@griffincentre.org,www.griffincentre.org,"1124 Finch Ave W, Unit 1
Toronto, ON     M3J 2E2","York University Heights, 27",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm","Youth and young adults 15-25 years with addiction or addiction and mental health challenges, living in Jane/Finch and surrounding northwest Toronto community, and their families",English ; Twi ; Interpretation available for other languages,"Call, email or visit website for information * intake assessment required * self referral or referral by family member, service provider, hospital, or community agency","Mental health and substance use services for transitional age youth including complex care coordination and intensive case management, individual and family counselling, group support and activities, educational workshops, outreach and community capacity building * access to other Griffin Centre services<br><br>

In partnership with LOFT Community Services -- see separate entry",2015-09-16
24,St Michael's Homes,(50) Non Profit ; (51) Registered Charity,416-926-8267,info@stmichaelshomes.org,stmichaelshomes.org,"262 Gerrard St E
Toronto, ON     M5A 2G2","Moss Park, 73",Wheelchair accessible entrance ; Street parking,Mon-Fri 9 am-5 pm,Men in recovery from alcohol or drug addiction * varies by program,English,Call for application and to arrange intake interview,"Short and long term supportive residential treatment * abstinence based * rehabilitative programs<br><br>

<b>Matt Talbot Houses</b> -- short and long term programs for men 50 years and older * capacity 49 * individualized care plan * client centred case management * relapse management * Phase One -- short term program, less than 1 year * Phase Two -- long term program, admission dependent on successful completion of Phase One<br><br>

<b>St Michael's Houses</b> -- 6 month residential treatment program for men 18-55 years * capacity 26 * includes community living, individual and group counselling, life skills, relaxation training, anger management * after care group",2015-03-10
25,"University Health Network, Toronto Western Hospital",(50) Non Profit ; (51) Registered Charity,Switchboard 416-603-5800 * Patient Inquiry 416-603-5801,,www.uhn.ca,"399 Bathurst St
Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,,"Acute care hospital<br><br>
Areas of focus -- neural and sensory sciences * community and population health * musculoskeletal health and arthritis <br><br>
Artists health centre * asthma * cardiac and pulmonary rehab * Diabetes Education Centre * eye clinic * memory clinic * movement disorders clinic * sleep clinic * stroke clinic * Tourette's Clinic * tuberculosis clinic <br><br>
<b>Mental Health and Addictions Programs</b> -- addictions outpatient assessment, counselling and aftercare * acupuncture for addictions * withdrawal management (see separate listings) * psychiatric assessment and treatment * brief psychotherapy * urgent care assessment clinic * family support in Spanish, Italian and Portuguese * Asian Initiative in Mental Health (see separate listing) * Portuguese Mental Health and Addiction Services (see separate listing)",2014-01-31
26,St Michael's Hospital,(50) Non Profit,,,www.stmichaelshospital.com,"Maxwell Meighen Centre
135 Sherbourne St, 3rd Fl
Toronto, ON     M5A 2R5","Moss Park, 73",Not wheelchair accessible,,"Residential program -- men 16 years and older in a state of intoxication, withdrawal from a substance or in crisis regarding their substance use * Community and Day Withdrawal Management -- men and women 16 years and older who are in withdrawal or in crisis regarding their substance use",English,Call 1-866-366-9513 Central Access,"Alcohol and drug detoxification * crisis care * assessment, referral and treatment planning * case management<br><br>

<b>Residential Program</b> -- capacity 17 * assessment * symptom management * counselling * referral to other services<br><br>

<b>Community Withdrawal Management</b> -- assessment, referral, treatment planning, education<br><br>

<b>Day Withdrawal Management Service</b> -- 3 week program * group sessions * life skills * mood management * post acute withdrawal issues <br><br>

<b>Anchor Person Project</b> -- helps to set and meet realistic personal goals * case management including advocacy with law enforcement, courts and social service agencies * certified alcohol and drug addiction counsellors * peer support * life skills * facilitates assessment tools as required by Ministry of Health for access to addiction programs",2013-10-17
27,St Michael's Hospital,(50) Non Profit,Registered patients 416-864-6000 ; New patients intake 416-864-3076,,www.stmichaelshospital.com,"140 The Esplanade, Unit 3
Toronto, ON     M5A 4P5","Waterfront Communities-The Island, 77",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon, Wed-Fri 8 am-5 pm, Tue 8 am-8 pm * doctor on call 24 hours",,English ; Interpretive services,By appointment,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,2015-09-24
28,"University Health Network, Toronto Western Hospital",(50) Non Profit ; (51) Registered Charity,,,www.uhn.ca,"16 Ossington Ave
Toronto, ON     M6J 2Y7","Trinity-Bellwoods, 81",Not Accessible ; Parking lot beside building,Mon-Sun 24 hours,"Men 16 years and older * must be mobile, conscious, intoxicated or in withdrawal, no medical complications",English,Call Central Access 1-866-366-9513,Nonmedical alcohol and drug detoxification and informal counselling,2014-02-03
29,YMCA of Greater Toronto,(50) Non Profit ; (51) Registered Charity,416-603-6366 ext 5,,www.ymcagta.org,"Vanauley Street YMCA
7 Vanauley St
Toronto, ON     M5T 2V9","Kensington-Chinatown, 78",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Street parking,Mon-Fri 9 am-5 pm * evening appointments available,"Youth and young adults 14-24 years who use/abuse alcohol or other substances, including nicotine",English ; Interpreters may be available for other languages,,"Non-residential treatment program * assessment, individual counselling, crisis intervention, educational presentations, referral * outreach counselling * no emergency services * available at various YMCA locations",2016-02-04
30,Toronto East General Hospital,(50) Non Profit ; (51) Registered Charity,Information 416-461-2010,dosmi@tegh.on.ca,www.tegh.on.ca,"985 Danforth Ave
Toronto, ON     M4J 1M1","Blake-Jones, 69",Wheelchair accessible -- call for details,Mon-Sun 24 hours * Day Withdrawal Management Service -- Mon-Fri 9:30 am-3:30 pm,"<b>Residential program </b>-- men 16 years and older in a state of intoxication, withdrawal from a substance or in crisis regarding their substance use * <b>Community Withdrawal Management </b>-- men and women 16 years and older who are under the influence of a substance and/or in withdrawal or in crisis regarding their substance use * <b>Day Withdrawal Management</b> -- men and women 16 years and older who are already abstaining or in withdrawal",English,<b>Residential program </b>-- Central Access 1-866-366-9513 * <b>Community and Day Withdrawal Management</b> -- 416-461-2010 * <b>Aboriginal Day Withdrawal Management</b> -- 416-923-0800,"Alcohol and drug detoxification * crisis care * assessment, referral and treatment planning * case management * psychosocial education and pre-treatment * continuing care * family support group<br> <br> 

<b>Residential Program</b> -- capacity 30 * assessment * symptom management * counselling * referral to other services<br> <br> 

<b>Community Withdrawal Management</b> -- alcohol and drug withdrawal management including visits into the community * assessment, referral and treatment planning * family education<br> <br> 

<b>Day Withdrawal Management Service</b> -- 3 week program * group sessions * life skills * mood management * post acute withdrawal issues * acupuncture  <br><br>

<b>Aboriginal Day Withdrawal Program</b> -- culturally appropriate treatment",2014-01-28
31,Anishnawbe Health Toronto,(50) Non Profit ; (51) Registered Charity,416-657-0379,info@aht.ca,www.aht.ca,"22 Vaughan Rd
Toronto, ON     M6G 2N1","Wychwood, 94","Wheelchair accessible automatic main entrance ; Wheelchair accessible washroom, assistance needed with door ; Limited street parking",Mon-Fri 9 am-5 pm * Intake Mon-Fri 9 am-4 pm * Mental Health Crisis Line -- Mon-Sun 24 hours,Aboriginal ancestry,English ; some Aboriginal languages,Call or drop in * no referral required,Mental health and addiction services based on Aboriginal culture and traditions * 20-week day program * assessment * counselling * support groups,2015-05-20
