PublicName / Nom public,AgencyDescription / Descriptiondelorganisme,PhysicalAddress1 / Adressemunicipale1,PhysicalAddress2 / Adressemunicipale2,UpdatedOn / Misàjourle,LanguageOfRecord / Languedudossier,PhysicalCity / Villephysique,PhysicalStateProvince / Étatprovincephysique,PhysicalPostalCode / Codepostal,Latitude / Latitude,Longitude / Longitude,PhoneNumberBusinessLine / Numérodetéléphonedaffaires,PhoneTollFree / Téléphonesansfrais,PhoneTTY / TéléphoneATS,PhoneFax / Télécopieur,WebsiteAddress / Adressedusite Web,Hours / Heures,DisabilitiesAccess/ Accèspourhandicapés,FeeStructureSource / Sourcedeléchelledestarifs,ApplicationProcess / Processusdedemande,Eligibility / Admissibilité,LanguagesOfferedList / Listedeslanguesoffertes,Coverage / Portée
"Halton Family Services - Youth Individual, Group and Family Counselling - Georgetown","Offers Individual, group and family mental health counselling to youths and their families. *",360 Guelph Street,"Knolcrest Centre, Unit 45, Suite 6",Sep 26 2014  9:04:00,English,Georgetown,ON,L7G 4B5,43.649359,-79.885442,905-845-3811,,,905-845-3537,http://www.haltonfamilyservices.org,By appointment only.,Not applicable,Sliding Scale,Appointment Required Documents not specified - inquire for more information,"Children, youths and their families.","English, Spanish, French, Italian, Portuguese","HaltonGeorgetown, Halton"
"Halton Family Services - Youth Individual, Group and Family Counselling - Georgetown","Offre des services de counselling individuel, en familles ou en groupes aux enfants, jeunes et leurs familles. *",360 rue Guelph,"centre Knolcrest, Suite 45, Bureau 6",Sep 26 2014  9:04:00,French,Georgetown,ON,L7G 4B5,43.649359,-79.885442,905-845-3811,,,905-845-3537,http://www.haltonfamilyservices.org,Par rendez-vous seulement,Pas applicable,Échelle Mobile,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,"Enfants, jeunes et leurs familles.","anglais, espagnol, français, italien, portugais","HaltonGeorgetown, Halton"
"Halton Family Services - Youth Individual, Group and Family Counselling - Milton","Offers Individual, group and family mental health counselling to youths and their families. *",75 Main Street East,Unit 14,Sep 26 2014  9:00:26,English,Milton,ON,L9T 2Y6,43.510277,-79.886462,905-845-3811,,,905-845-3537,http://www.haltonfamilyservices.org,By appointment only.,Not Wheelchair Accessible,Sliding Scale,Appointment Required Documents not specified - inquire for more information,"Children, youths and their families.","English, Spanish, French, Italian, Portuguese","HaltonMilton, Halton"
"Halton Family Services - Youth Individual, Group and Family Counselling - Milton","Offre des services de counselling individuel, en familles ou en groupes aux enfants, jeunes et leurs familles.",75 rue Main Est,suite 14,Sep 26 2014  9:00:26,French,Milton,ON,L9T 2Y6,43.510277,-79.886462,905-845-3811,,,905-845-3537,http://www.haltonfamilyservices.org,Par rendez-vous seulement.,Non accessible,Échelle Mobile,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,"Enfants, jeunes, et leurs familles.","anglais, espagnol, français, italien, portugais","HaltonMilton, Halton"
"Family, Youth and Child Services of Muskoka - Child and Youth Mental Health Services - Huntsville",Short or long term family counselling services for children and youth and their families. *,81 Main Street West,,May  7 2014  8:26:00,English,Huntsville,ON,P1H 1X1,45.3245317,-79.2243477,705-789-8866,,,705-789-6210,http://www.fycsm.ca/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  First Sunday in April to last Sunday in October 8:30 to 4:00 Monday to Friday. Phones are answered 24/7 for emergencies.,Not applicable,Free,Appointment Required No Documentation Required,Children and youth 5-17.,English,"Huntsville, Muskoka"
"Family, Youth and Child Services of Muskoka - Child and Youth Mental Health Services - Huntsville","Services de counseling de courte durée et de longue durée pour les enfants, les jeunes et leurs familles.","81, rue Main ouest",,May  7 2014  8:26:00,French,Huntsville,ON,P1H 1X1,45.3245317,-79.2243477,705-645-4426,1-800-680-4426,,705-645-1905,http://www.fycsm.ca/,"Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *  Heures d'ouverture du premier dimanche du mois d'avril au dernier dimanche du mois d'octobre: Lundi-vendredi, 8:30am-4:00pm.",Pas applicable,Gratuit,Accès sans recommandation et Rendez-vous requis Aucuns documents requis,Enfants et jeunes de 5-17 ans.,anglais,"Huntsville, Muskoka"
Phoenix Centre for Children and Families - Family and Child Treatment - Arnprior,"Offers therapeutic services to children, youth, and their families to improve their mental health and well-being, including outpatient individual, family and group counselling.",160 Kenwood Street,"Kenwood Corporate Centre, Suite 200",Jun 11 2015  5:31:00,English,Arnprior,ON,K7S 1K4,45.4353633,-76.3589287,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Mon 8:30am-5pm * Tue 8:30am-5pm * Wed 8:30am-5pm * Thu 8:30am-5pm * Fri 8:30am-3pm *,Unknown,Free,Appointment Required No Documentation Required,Children and youth ages 18 and younger with mental health concerns.,English,"RenfrewArnprior, Renfrew"
Phoenix Centre for Children and Families - Family and Child Treatment - Arnprior,"Offre des services thérapeutiques aux enfants, jeunes et à leurs familles afin d'améliorer leur santé mentale et leur bien-être.  Offre des services de counseling individuel, en groupe et en famille.","160, rue William","Kenwood Corporate Centre, bureau 200",Jun 11 2015  5:31:00,French,Arnprior,ON,K7S 1K4,45.4353633,-76.3589287,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Lun 8h30-17h * Mar 8h30-17h * Mer 8h30-17h * Jeu 8h30-17h * Ven 8h30-15h *,Inconnu,Gratuit,Rendez-vous requis Aucuns documents requis,Les enfants et les jeunes de 18 ans et moins ayant des problèmes de santé mentale.  *,anglais,"RenfrewArnprior, Renfrew"
Phoenix Centre for Children and Families - Family and Child Treatment - Deep River,"Offers therapeutic services to children, youth, and their families to improve their mental health and well-being, including outpatient individual, family and group counselling.",33019 Highway 17,Real Hope Christian Assembly,May 14 2015  1:29:00,English,Deep River,ON,K8A 5M8,46.0914363,-77.4908149,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Mon 8:30am-5pm * Tue 8:30am-5pm * Wed 8:30am-5pm * Thu 8:30am-5pm * Fri 8:30am-3pm *,Unknown,Free,Appointment Required No Documentation Required,Children and youth 18 years and younger with mental health concerns,English,Renfrew
Phoenix Centre for Children and Families - Family and Child Treatment - Deep River,"Offre des services thérapeutiques aux enfants, jeunes et à leurs familles afin d'améliorer leur santé mentale et leur bien-être.  Offre des services de counseling individuel, en groupe et en famille.","33019, autoroute 17",Real Hope Christian Assembly,May 14 2015  1:29:00,French,Deep River,ON,K8A 5M8,46.0914363,-77.4908149,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Lun 8h30-17h * Mar 8h30-17h * Mer 8h30-17h * Jeu 8h30-17h * Ven 8h30-15h *,Inconnu,Gratuit,Rendez-vous requis Aucuns documents requis,Les enfants et les jeunes de 18 ans et moins ayant des problèmes de santé mentale.  *,anglais,Renfrew
Phoenix Centre for Children and Families - Family and Child Treatment - Killaloe,"Offers therapeutic services to children, youth, and their families to improve their mental health and well-being, including outpatient individual, family and group counselling.",15 Lake Street,Community Resource Centre,May 14 2015  1:30:00,English,Killaloe,ON,K0J 2A0,45.5549424,-77.4147632,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Mon 8:30am-5pm * Tue 8:30am-5pm * Wed 8:30am-5pm * Thu 8:30am-5pm * Fri 8:30am-3pm *,Unknown,Free,Appointment Required No Documentation Required,Children and youth ages 18 and younger with mental health concerns.,English,"RenfrewKillaloe, Renfrew"
Phoenix Centre for Children and Families - Family and Child Treatment - Killaloe,"Offre des services thérapeutiques aux enfants, jeunes et à leurs familles afin d'améliorer leur santé mentale et leur bien-être.  Offre des services de counseling individuel, en groupe et en famille.","15, rue Lake",Community Resource Centre,May 14 2015  1:30:00,French,Killaloe,ON,K0J 2A0,45.5549424,-77.4147632,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Lun 8h30-17h * Mar 8h30-17h * Mer 8h30-17h * Jeu 8h30-17h * Ven 8h30-15h *,Inconnu,Gratuit,Rendez-vous requis Aucuns documents requis,Les enfants et les jeunes de 18 ans et moins ayant des problèmes de santé mentale.,anglais,"RenfrewKillaloe, Renfrew"
Phoenix Centre for Children and Families - Family and Child Treatment - Pembroke,"Offers therapeutic services to children, youth, and their families to improve their mental health and well-being, including outpatient individual, family and group counselling.",130 Pembroke Street West,2nd Floor,May 14 2015  1:31:00,English,Pembroke,ON,K8A 5M8,45.825278,-77.1158873,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Mon 8:30am-5pm * Tue 8:30am-5pm * Wed 8:30am-5pm * Thu 8:30am-5pm * Fri 8:30am-3pm *,Unknown,Free,Appointment Required No Documentation Required,Children and youth ages 18 and younger with mental health concerns.,English,"RenfrewPembroke, Renfrew"
Phoenix Centre for Children and Families - Family and Child Treatment - Pembroke,"Offre des services thérapeutiques aux enfants, jeunes et à leurs familles afin d'améliorer leur santé mentale et leur bien-être.  Offre des services de counseling individuel, en groupe et en famille.","130, rue pembroke ouest",2e étage,May 14 2015  1:31:00,French,Pembroke,ON,K8A 5M8,45.825278,-77.1158873,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Lun 8h30-17h * Mar 8h30-17h * Mer 8h30-17h * Jeu 8h30-17h * Ven 8h30-15h *,Inconnu,Gratuit,Rendez-vous requis Aucuns documents requis,Les enfants et les jeunes de 18 ans et moins ayant des problèmes de santé mentale.,anglais,"RenfrewPembroke, Renfrew"
Phoenix Centre for Children and Families - Family and Child Treatment - Renfrew,"Offers therapeutic services to children, youth, and their families to improve their mental health and well-being, including outpatient individual, family and group counselling.",191 Plaunt Street South,,Jun 11 2015  5:38:00,English,Renfrew,ON,K7V 1M7,45.4725147,-76.6832209,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Mon 8:30am-5pm * Tue 8:30am-5pm * Wed 8:30am-5pm * Thu 8:30am-5pm * Fri 8:30am-3pm *,Not applicable,Free,Appointment Required No Documentation Required,Children and youth 18 years and younger with mental health concerns.,English,"RenfrewRenfrew, Renfrew"
Phoenix Centre for Children and Families - Family and Child Treatment - Renfrew,"Offre des services thérapeutiques aux enfants, jeunes et à leurs familles afin d'améliorer leur santé mentale et leur bien-être.  Offre des services de counseling individuel, en groupe et en famille.","191, rue Plaunt sud",,Jun 11 2015  5:38:00,French,Renfrew,ON,K7V 1M7,45.4725147,-76.6832209,,1-800-465-1870,,613-735-2378,http://www.phoenixpembroke.com,Lun 8h30-17h * Mar 8h30-17h * Mer 8h30-17h * Jeu 8h30-17h * Ven 8h30-15h *,Inconnu,Gratuit,Rendez-vous requis Aucuns documents requis,Les enfants et les jeunes de 18 ans et moins ayant des problèmes de santé mentale.,anglais,"RenfrewRenfrew, Renfrew"
Rapport Youth and Family Services - Eclypse Youth Drop-In Centre - Brampton,"Multi-service youth drop-in centre providing direct service to youth who have difficulty accessing services through traditional approaches in the social services, education and health sectors. Multi-service activities include counselling support, social service referrals, addictions counsellings, computer and internet access, job search assistance, lounge area, homework support and volunteer opportunities.",83 Kennedy Road South,Unit 101,Dec 23 2014  2:06:00,English,Brampton,ON,L6W 3P3,43.6883951,-79.7404952,905-866-6900,,,905-866-6120,www.rapportyouth.com,Tue 3:30pm-7pm * Wed 3:30pm-7pm * Thu 3:30pm-7pm * Fri 3:30pm-7pm *,Not applicable,Free,Drop-In No Documentation Required,Youth 12-24 years old,English,Peel
Rapport Youth and Family Services - Eclypse Youth Drop-In Centre - Brampton,"Centre multi-services jeunesse sans rendez-vous fournir directement un service aux jeunes qui ont des difficultés d'accès aux services par les approches traditionnelles de l'éducation et de la santé des services sociaux. Activités multi-services comprennent des services de counseling, d'aiguillage des services sociaux, de toxicomanie counsellings, ordinateur et accès internet, aide à la recherche d'emploi, salon, aide aux devoirs et les possibilités de bénévolat.","83, rue Kennedy sud",bureau 20,Dec 23 2014  2:06:00,French,Brampton,ON,L6W 3P3,43.6883951,-79.7404952,905-866-6900,,,905-866-6120,www.rapportyouth.com,Mar 3h30-19h * Mer 3h30-19h * Jeu 3h30-19h * Ven 3h30-19h *,Pas applicable,Gratuit,Consultations sans rendez-vous Aucuns documents requis,Jeunes 12 à 24 ans,anglais,Peel
Rapport Youth and Family Services - Eclypse Youth Drop-In Centre - Bramalea,"Multi-service youth drop-in centre providing direct service to youth who have difficulty accessing services through traditional approaches in the social services, education and health sectors. Multi-service activities include counselling support, social service referrals, addictions counsellings, computer and internet access, job search assistance, lounge area, homework support and volunteer opportunities.",60 West Drive,Unit 101,Dec 23 2014  2:02:00,English,Brampton,ON,L6T 3T6,43.7032347,-79.7248586,905-790-7707,,,905-790-7730,www.rapportyouth.com,Mon 1pm-8pm * Tue 1pm-8pm * Wed 1pm-8pm * Thu 1pm-8pm * Fri 1pm-8pm *,Not applicable,Free,Drop-In No Documentation Required,Youth 12-24 years old,English,Peel
Rapport Youth and Family Services - Eclypse Youth Drop-In Centre - Bramalea,"Centre multi-services jeunesse sans rendez-vous fournir directement un service aux jeunes qui ont des difficultés d'accès aux services par les approches traditionnelles de l'éducation et de la santé des services sociaux. Activités multi-services comprennent des services de counseling, d'aiguillage des services sociaux, de toxicomanie counsellings, ordinateur et accès internet, aide à la recherche d'emploi, salon, aide aux devoirs et les possibilités de bénévolat.","60, Promenade Ouest",Bureau 101,Dec 23 2014  2:02:00,French,Brampton,ON,L6T 3T6,43.7032347,-79.7248586,905-790-7707,,,905-790-7730,www.rapportyouth.com,Lun 1h-20h * Mar 1h-20h * Mer 1h-20h * Jeu 1h-20h * Ven 1h-20h *,Pas applicable,Gratuit,Consultation sans rendez-vous Aucuns documents requis,Jeunes 12 à 24 ans,"Anglais, anglais",Peel
ROCK Reach Out Centre for Kids - Clinical Services - Burlington,"Children's mental health centre serving clients who are experiencing emotional, behavioural, developmental, learning and/or social difficulties, and their families.",472 Pearl Street,,Nov  4 2014  4:26:42,English,Burlington,ON,L7R 4M4,43.328024,-79.7967398,905-634-2347 ext 439,,,,http://www.rockonline.ca,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Free,Parental/Guardian Referral Required No Documentation Required,Children and youth 17 years or younger.,English,Halton
ROCK Reach Out Centre for Kids - Clinical Services - Burlington,"Centre de santé mentale qui offre des services à des enfants et jeunes qui éprouvent des difficultés émotionnelles, comportementales, développementales, des difficultés sociales et d'apprentissage, et à leurs familles.","472, rue Pearl",,Nov  4 2014  4:26:42,French,Burlington,ON,L7R 4M4,43.328024,-79.7967398,905-634-2347 ext 439,,,,http://www.rockonline.ca,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Gratuit,Recommandation d'un parent/tuteur requise Aucuns documents requis,Enfants et jeunes de 17 ans et moins.,anglais,Halton
ROCK Reach Out Centre for Kids - Clinical Services - Milton,"Children's mental health centre serving clients who are experiencing emotional, behavioural, developmental, learning and/or social difficulties, and their families.",400 Bronte Street South,Suite 101,Nov  4 2014  4:28:00,English,Milton,ON,L9T 0H7,43.5000326,-79.8776275,905-634-2347 ext 439,,,,http://www.rockonline.ca,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Free,Parental/Guardian Referral Required No Documentation Required,Children and youth 17 years or younger.,English,Halton
ROCK Reach Out Centre for Kids - Clinical Services - Milton,"Centre de santé mentale qui offre des services à des enfants et jeunes qui éprouvent des difficultés émotionnelles, comportementales, développementales, des difficultés sociales et d'apprentissage, et à leurs familles.","400, rue Bronte Sud",Suite 101,Nov  4 2014  4:28:00,French,Milton,ON,L9T 0H7,43.5000326,-79.8776275,905-634-2347 ext 439,,,,http://www.rockonline.ca,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Gratuit,Recommandation d'un parent/tuteur requise Aucuns documents requis,Enfants et jeunes de 17 ans et moins.,anglais,Halton
ROCK Reach Out Centre for Kids - Clinical Services - Oakville,"Children's mental health centre serving clients who are experiencing emotional, behavioural, developmental, learning and/or social difficulties, and their families.",504 Iroquois Shore Road,Unit 12A,Nov  4 2014  4:29:00,English,Oakville,ON,L6H 2Y7,43.4687939,-79.680653,905-634-2347 ext 439,,,,http://www.rockonline.ca,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Free,Parental/Guardian Referral Required No Documentation Required,Children and youth 17 years or younger.,English,"HaltonOakville, Halton"
ROCK Reach Out Centre for Kids - Clinical Services - Oakville,"Centre de santé mentale qui offre des services à des enfants et jeunes qui éprouvent des difficultés émotionnelles, comportementales, développementales, des difficultés sociales et d'apprentissage, et à leurs familles.","504, chemin Iroquois Shore",Suite 12A,Nov  4 2014  4:29:00,French,Oakville,ON,L6H 2Y7,43.4687939,-79.680653,905-634-2347 ext 439,,,,http://www.rockonline.ca,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Gratuit,Recommandation d'un parent/tuteur requise Aucuns documents requis,Enfants et jeunes de 17 ans et moins.,anglais,"HaltonOakville, Halton"
Huron-Perth Centre - Counselling Services - Clinton,"Offers assessment, counselling and consultation for a variety of mental health concerns with children, youth and families.  Offers individual counselling and family counselling.",73 Wellington Street,,Mar 28 2014  7:47:11,English,Clinton,ON,N0M 1L0,43.538759,-81.529256,519-482-3931,,,,http://www.hpcentre.on.ca,Mon 9am-4pm * Tue 9am-4pm * Wed 9am-4pm * Thu 9am-4pm * Fri 9am-4pm *,Wheelchair accessible,Free,Appointment Required No Documentation Required,Youth 18 years and younger.,English,"Huron, Perth"
Huron-Perth Centre - Counselling Services - Clinton,"Offre des évaluations, du counseling et des consultations pour une variété d'inquiétudes en matière de santé mentale pour les enfants, jeunes et leurs familles.  Offre des services de conseling individuels et en famille.","73, rue Wellington",,Mar 28 2014  7:47:11,French,Clinton,ON,N0M 1L0,43.538759,-81.529256,519-482-3931,,,,http://www.hpcentre.on.ca,Lun 9h-16h * Mar 9h-16h * Mer 9h-16h * Jeu 9h-16h * Ven 9h-16h *,Entièrement accessible,Gratuit,Rendez-vous requis Aucuns documents requis,Jeunes de 18 ans et moins.,anglais,"Huron, Perth"
Huron-Perth Centre - Counselling Services - Listowel,"Offers assessment, counselling and consultation for a variety of mental health concerns with children, youth and families.  Offers individual counselling and family counselling.",570 Main Street West,,Mar 28 2014  7:47:37,English,Listowel,ON,N4W 1A8,43.733694,-80.958218,519-291-1088,,,519-291-9850,http://www.hpcentre.on.ca,Mon 9am-4pm * Tue 9am-4pm * Wed 9am-4pm * Thu 9am-4pm * Fri 9am-4pm *,Wheelchair accessible,Free,Appointment Required No Documentation Required,Youth 18 years and younger.,English,"Huron, Perth"
Huron-Perth Centre - Counselling Services - Listowel,"Offre des évaluations, du counseling et des consultations pour une variété d'inquiétudes en matière de santé mentale pour les enfants, jeunes et leurs familles.  Offre des services de conseling individuels et en famille.","570, rue Main Ouest",,Mar 28 2014  7:47:37,French,Listowel,ON,N4W 1A8,43.733694,-80.958218,519-291-1088,,,519-291-9850,http://www.hpcentre.on.ca,Lun 9h-16h * Mar 9h-16h * Mer 9h-16h * Jeu 9h-16h * Ven 9h-16h *,Entièrement accessible,Gratuit,Rendez-vous requis Aucuns documents requis,Jeunes de 18 ans et moins.,anglais,"Huron, Perth"
Huron-Perth Centre - Counselling Services - Stratford,"Offers assessment, counselling and consultation for a variety of mental health concerns with children, youth and families.  Offers individual counselling and family counselling.",63 Lorne Avenue East,,Jun 26 2014  8:53:38,English,Stratford,ON,N5A 6S4,43.3547531,-80.9934888,519-273-3373,,,519-273-0892,http://www.hpcentre.on.ca,Mon 9am-4pm * Tue 9am-4pm * Wed 9am-4pm * Thu 9am-4pm * Fri 9am-4pm *,Wheelchair accessible,Free,Appointment Required No Documentation Required,Youth 18 years and younger.,English,"Huron, Perth"
Huron-Perth Centre - Counselling Services - Stratford,"Offre des évaluations, du counseling et des consultations pour une variété d'inquiétudes en matière de santé mentale pour les enfants, jeunes et leurs familles.  Offre des services de conseling individuels et en famille.","63, avenue Lorne Est",Suite 2A,Jun 26 2014  8:53:38,French,Stratford,ON,N5A 6S4,43.3547531,-80.9934888,519-273-3373,,,519-273-0892,http://www.hpcentre.on.ca,Lun 9h-16h * Mar 9h-16h * Mer 9h-16h * Jeu 9h-16h * Ven 9h-16h *,Entièrement accessible,Gratuit,Rendez-vous requis Aucuns documents requis,Jeunes de 18 ans et moins.,anglais,"Huron, Perth"
